model,blimp_phenomenon,accuracy,n_correct,n_total,checkpoint
RA-ALTA/ar-en-phase1-final,determiner_noun_agreement_irregular_1,0.57,570,1000,main
RA-ALTA/ar-en-intermediate,determiner_noun_agreement_irregular_1,0.844,844,1000,main
RA-ALTA/tr-en-fluent,determiner_noun_agreement_1,0.957,957,1000,main
RA-ALTA/ar-en-fluent,determiner_noun_agreement_irregular_2,0.949,949,1000,main
RA-ALTA/ar-en-beginner,determiner_noun_agreement_irregular_2,0.9,900,1000,main
RA-ALTA/ar-en-advanced,determiner_noun_agreement_with_adj_2,0.917,917,1000,main
RA-ALTA/zh-en-beginner,determiner_noun_agreement_with_adj_2,0.868,868,1000,main
RA-ALTA/zh-en-phase1-final,determiner_noun_agreement_with_adj_irregular_2,0.504,504,1000,main
RA-ALTA/ar-en-phase1-final,determiner_noun_agreement_irregular_2,0.585,585,1000,main
RA-ALTA/ar-en-intermediate,determiner_noun_agreement_irregular_2,0.937,937,1000,main
RA-ALTA/tr-en-fluent,determiner_noun_agreement_2,0.926,926,1000,main
RA-ALTA/ar-en-fluent,determiner_noun_agreement_with_adj_2,0.936,936,1000,main
RA-ALTA/ar-en-beginner,determiner_noun_agreement_with_adj_2,0.905,905,1000,main
RA-ALTA/ar-en-advanced,determiner_noun_agreement_with_adj_irregular_1,0.864,864,1000,main
RA-ALTA/zh-en-beginner,determiner_noun_agreement_with_adj_irregular_1,0.723,723,1000,main
RA-ALTA/zh-en-phase1-final,determiner_noun_agreement_with_adjective_1,0.538,538,1000,main
RA-ALTA/ar-en-phase1-final,determiner_noun_agreement_with_adj_2,0.508,508,1000,main
RA-ALTA/ar-en-intermediate,determiner_noun_agreement_with_adj_2,0.917,917,1000,main
RA-ALTA/ar-en-fluent,determiner_noun_agreement_with_adj_irregular_1,0.89,890,1000,main
RA-ALTA/tr-en-fluent,determiner_noun_agreement_irregular_1,0.865,865,1000,main
RA-ALTA/ar-en-beginner,determiner_noun_agreement_with_adj_irregular_1,0.776,776,1000,main
RA-ALTA/ar-en-advanced,determiner_noun_agreement_with_adj_irregular_2,0.897,897,1000,main
RA-ALTA/zh-en-beginner,determiner_noun_agreement_with_adj_irregular_2,0.821,821,1000,main
RA-ALTA/zh-en-phase1-final,distractor_agreement_relational_noun,0.418,418,1000,main
RA-ALTA/ar-en-phase1-final,determiner_noun_agreement_with_adj_irregular_1,0.527,527,1000,main
RA-ALTA/ar-en-intermediate,determiner_noun_agreement_with_adj_irregular_1,0.819,819,1000,main
RA-ALTA/ar-en-fluent,determiner_noun_agreement_with_adj_irregular_2,0.907,907,1000,main
RA-ALTA/tr-en-fluent,determiner_noun_agreement_irregular_2,0.87,870,1000,main
RA-ALTA/ar-en-beginner,determiner_noun_agreement_with_adj_irregular_2,0.868,868,1000,main
RA-ALTA/ar-en-advanced,determiner_noun_agreement_with_adjective_1,0.915,915,1000,main
RA-ALTA/zh-en-beginner,determiner_noun_agreement_with_adjective_1,0.853,853,1000,main
RA-ALTA/zh-en-phase1-final,distractor_agreement_relative_clause,0.477,477,1000,main
RA-ALTA/ar-en-intermediate,determiner_noun_agreement_with_adj_irregular_2,0.89,890,1000,main
RA-ALTA/ar-en-phase1-final,determiner_noun_agreement_with_adj_irregular_2,0.542,542,1000,main
RA-ALTA/ar-en-fluent,determiner_noun_agreement_with_adjective_1,0.934,934,1000,main
RA-ALTA/tr-en-fluent,determiner_noun_agreement_with_adj_2,0.852,852,1000,main
RA-ALTA/ar-en-beginner,determiner_noun_agreement_with_adjective_1,0.871,871,1000,main
RA-ALTA/ar-en-advanced,distractor_agreement_relational_noun,0.772,772,1000,main
RA-ALTA/zh-en-phase1-final,drop_argument,0.792,792,1000,main
RA-ALTA/zh-en-beginner,distractor_agreement_relational_noun,0.595,595,1000,main
RA-ALTA/ar-en-intermediate,determiner_noun_agreement_with_adjective_1,0.884,884,1000,main
RA-ALTA/ar-en-fluent,distractor_agreement_relational_noun,0.813,813,1000,main
RA-ALTA/ar-en-phase1-final,determiner_noun_agreement_with_adjective_1,0.555,555,1000,main
RA-ALTA/tr-en-fluent,determiner_noun_agreement_with_adj_irregular_1,0.862,862,1000,main
RA-ALTA/ar-en-beginner,distractor_agreement_relational_noun,0.563,563,1000,main
RA-ALTA/ar-en-advanced,distractor_agreement_relative_clause,0.611,611,1000,main
RA-ALTA/zh-en-beginner,distractor_agreement_relative_clause,0.373,373,1000,main
RA-ALTA/zh-en-phase1-final,ellipsis_n_bar_1,0.214,214,1000,main
RA-ALTA/ar-en-intermediate,distractor_agreement_relational_noun,0.719,719,1000,main
RA-ALTA/ar-en-fluent,distractor_agreement_relative_clause,0.673,673,1000,main
RA-ALTA/ar-en-phase1-final,distractor_agreement_relational_noun,0.431,431,1000,main
RA-ALTA/tr-en-fluent,determiner_noun_agreement_with_adj_irregular_2,0.804,804,1000,main
RA-ALTA/ar-en-beginner,distractor_agreement_relative_clause,0.431,431,1000,main
RA-ALTA/ar-en-advanced,drop_argument,0.785,785,1000,main
RA-ALTA/zh-en-beginner,drop_argument,0.72,720,1000,main
RA-ALTA/zh-en-phase1-final,ellipsis_n_bar_2,0.557,557,1000,main
RA-ALTA/ar-en-intermediate,distractor_agreement_relative_clause,0.557,557,1000,main
RA-ALTA/ar-en-fluent,drop_argument,0.766,766,1000,main
RA-ALTA/ar-en-phase1-final,distractor_agreement_relative_clause,0.458,458,1000,main
RA-ALTA/tr-en-fluent,determiner_noun_agreement_with_adjective_1,0.913,913,1000,main
RA-ALTA/ar-en-beginner,drop_argument,0.762,762,1000,main
RA-ALTA/ar-en-advanced,ellipsis_n_bar_1,0.744,744,1000,main
RA-ALTA/zh-en-beginner,ellipsis_n_bar_1,0.757,757,1000,main
RA-ALTA/zh-en-phase1-final,existential_there_object_raising,0.7,700,1000,main
RA-ALTA/ar-en-intermediate,drop_argument,0.77,770,1000,main
RA-ALTA/ar-en-fluent,ellipsis_n_bar_1,0.794,794,1000,main
RA-ALTA/ar-en-phase1-final,drop_argument,0.774,774,1000,main
RA-ALTA/tr-en-fluent,distractor_agreement_relational_noun,0.656,656,1000,main
RA-ALTA/ar-en-beginner,ellipsis_n_bar_1,0.699,699,1000,main
RA-ALTA/ar-en-advanced,ellipsis_n_bar_2,0.806,806,1000,main
RA-ALTA/zh-en-beginner,ellipsis_n_bar_2,0.815,815,1000,main
RA-ALTA/zh-en-phase1-final,existential_there_quantifiers_1,0.834,834,1000,main
RA-ALTA/ar-en-intermediate,ellipsis_n_bar_1,0.722,722,1000,main
RA-ALTA/ar-en-fluent,ellipsis_n_bar_2,0.833,833,1000,main
RA-ALTA/ar-en-phase1-final,ellipsis_n_bar_1,0.251,251,1000,main
RA-ALTA/tr-en-fluent,distractor_agreement_relative_clause,0.443,443,1000,main
RA-ALTA/ar-en-beginner,ellipsis_n_bar_2,0.813,813,1000,main
RA-ALTA/ar-en-advanced,existential_there_object_raising,0.8,800,1000,main
RA-ALTA/zh-en-beginner,existential_there_object_raising,0.755,755,1000,main
RA-ALTA/zh-en-phase1-final,existential_there_quantifiers_2,0.303,303,1000,main
RA-ALTA/ar-en-intermediate,ellipsis_n_bar_2,0.75,750,1000,main
RA-ALTA/ar-en-fluent,existential_there_object_raising,0.774,774,1000,main
RA-ALTA/ar-en-phase1-final,ellipsis_n_bar_2,0.512,512,1000,main
RA-ALTA/tr-en-fluent,drop_argument,0.71,710,1000,main
RA-ALTA/ar-en-beginner,existential_there_object_raising,0.805,805,1000,main
RA-ALTA/ar-en-advanced,existential_there_quantifiers_1,0.975,975,1000,main
RA-ALTA/zh-en-beginner,existential_there_quantifiers_1,0.962,962,1000,main
RA-ALTA/zh-en-phase1-final,existential_there_subject_raising,0.484,484,1000,main
RA-ALTA/ar-en-intermediate,existential_there_object_raising,0.768,768,1000,main
RA-ALTA/ar-en-fluent,existential_there_quantifiers_1,0.966,966,1000,main
RA-ALTA/ar-en-phase1-final,existential_there_object_raising,0.755,755,1000,main
RA-ALTA/tr-en-fluent,ellipsis_n_bar_1,0.696,696,1000,main
RA-ALTA/ar-en-beginner,existential_there_quantifiers_1,0.948,948,1000,main
RA-ALTA/ar-en-advanced,existential_there_quantifiers_2,0.339,339,1000,main
RA-ALTA/zh-en-beginner,existential_there_quantifiers_2,0.543,543,1000,main
RA-ALTA/zh-en-phase1-final,expletive_it_object_raising,0.641,641,1000,main
RA-ALTA/ar-en-fluent,existential_there_quantifiers_2,0.369,369,1000,main
RA-ALTA/ar-en-intermediate,existential_there_quantifiers_1,0.975,975,1000,main
RA-ALTA/ar-en-phase1-final,existential_there_quantifiers_1,0.838,838,1000,main
RA-ALTA/tr-en-fluent,ellipsis_n_bar_2,0.831,831,1000,main
RA-ALTA/ar-en-beginner,existential_there_quantifiers_2,0.355,355,1000,main
RA-ALTA/ar-en-advanced,existential_there_subject_raising,0.867,867,1000,main
RA-ALTA/zh-en-beginner,existential_there_subject_raising,0.836,836,1000,main
RA-ALTA/zh-en-phase1-final,inchoative,0.456,456,1000,main
RA-ALTA/ar-en-fluent,existential_there_subject_raising,0.857,857,1000,main
RA-ALTA/ar-en-intermediate,existential_there_quantifiers_2,0.3,300,1000,main
RA-ALTA/ar-en-phase1-final,existential_there_quantifiers_2,0.362,362,1000,main
RA-ALTA/ar-en-beginner,existential_there_subject_raising,0.832,832,1000,main
RA-ALTA/tr-en-fluent,existential_there_object_raising,0.777,777,1000,main
RA-ALTA/zh-en-phase1-final,intransitive,0.627,627,1000,main
RA-ALTA/ar-en-advanced,expletive_it_object_raising,0.74,740,1000,main
RA-ALTA/zh-en-beginner,expletive_it_object_raising,0.691,691,1000,main
RA-ALTA/ar-en-intermediate,existential_there_subject_raising,0.816,816,1000,main
RA-ALTA/ar-en-fluent,expletive_it_object_raising,0.751,751,1000,main
RA-ALTA/ar-en-phase1-final,existential_there_subject_raising,0.525,525,1000,main
RA-ALTA/ar-en-beginner,expletive_it_object_raising,0.748,748,1000,main
RA-ALTA/tr-en-fluent,existential_there_quantifiers_1,0.98,980,1000,main
RA-ALTA/zh-en-phase1-final,irregular_past_participle_adjectives,0.608,608,1000,main
RA-ALTA/zh-en-beginner,inchoative,0.522,522,1000,main
RA-ALTA/ar-en-advanced,inchoative,0.616,616,1000,main
RA-ALTA/ar-en-fluent,inchoative,0.563,563,1000,main
RA-ALTA/ar-en-intermediate,expletive_it_object_raising,0.703,703,1000,main
RA-ALTA/ar-en-phase1-final,expletive_it_object_raising,0.705,705,1000,main
RA-ALTA/ar-en-beginner,inchoative,0.526,526,1000,main
RA-ALTA/tr-en-fluent,existential_there_quantifiers_2,0.159,159,1000,main
RA-ALTA/zh-en-phase1-final,irregular_past_participle_verbs,0.586,586,1000,main
RA-ALTA/zh-en-beginner,intransitive,0.65,650,1000,main
RA-ALTA/ar-en-advanced,intransitive,0.76,760,1000,main
RA-ALTA/ar-en-fluent,intransitive,0.701,701,1000,main
RA-ALTA/ar-en-intermediate,inchoative,0.567,567,1000,main
RA-ALTA/ar-en-phase1-final,inchoative,0.408,408,1000,main
RA-ALTA/ar-en-beginner,intransitive,0.677,677,1000,main
RA-ALTA/tr-en-fluent,existential_there_subject_raising,0.864,864,1000,main
RA-ALTA/zh-en-phase1-final,irregular_plural_subject_verb_agreement_1,0.52,520,1000,main
RA-ALTA/zh-en-beginner,irregular_past_participle_adjectives,0.873,873,1000,main
RA-ALTA/ar-en-advanced,irregular_past_participle_adjectives,0.982,982,1000,main
RA-ALTA/ar-en-fluent,irregular_past_participle_adjectives,0.951,951,1000,main
RA-ALTA/ar-en-intermediate,intransitive,0.722,722,1000,main
RA-ALTA/ar-en-phase1-final,intransitive,0.569,569,1000,main
RA-ALTA/ar-en-beginner,irregular_past_participle_adjectives,0.996,996,1000,main
RA-ALTA/tr-en-fluent,expletive_it_object_raising,0.752,752,1000,main
RA-ALTA/zh-en-phase1-final,irregular_plural_subject_verb_agreement_2,0.517,517,1000,main
RA-ALTA/zh-en-beginner,irregular_past_participle_verbs,0.762,762,1000,main
RA-ALTA/ar-en-advanced,irregular_past_participle_verbs,0.898,898,1000,main
RA-ALTA/ar-en-fluent,irregular_past_participle_verbs,0.917,917,1000,main
RA-ALTA/ar-en-intermediate,irregular_past_participle_adjectives,0.968,968,1000,main
RA-ALTA/ar-en-phase1-final,irregular_past_participle_adjectives,0.88,880,1000,main
RA-ALTA/ar-en-beginner,irregular_past_participle_verbs,0.826,826,1000,main
RA-ALTA/zh-en-phase1-final,left_branch_island_echo_question,0.837,837,1000,main
RA-ALTA/tr-en-fluent,inchoative,0.527,527,1000,main
RA-ALTA/zh-en-beginner,irregular_plural_subject_verb_agreement_1,0.796,796,1000,main
RA-ALTA/ar-en-advanced,irregular_plural_subject_verb_agreement_1,0.908,908,1000,main
RA-ALTA/ar-en-fluent,irregular_plural_subject_verb_agreement_1,0.914,914,1000,main
RA-ALTA/ar-en-intermediate,irregular_past_participle_verbs,0.873,873,1000,main
RA-ALTA/ar-en-phase1-final,irregular_past_participle_verbs,0.413,413,1000,main
RA-ALTA/ar-en-beginner,irregular_plural_subject_verb_agreement_1,0.824,824,1000,main
RA-ALTA/zh-en-phase1-final,left_branch_island_simple_question,0.543,543,1000,main
RA-ALTA/tr-en-fluent,intransitive,0.679,679,1000,main
RA-ALTA/zh-en-beginner,irregular_plural_subject_verb_agreement_2,0.837,837,1000,main
RA-ALTA/ar-en-advanced,irregular_plural_subject_verb_agreement_2,0.941,941,1000,main
RA-ALTA/ar-en-fluent,irregular_plural_subject_verb_agreement_2,0.942,942,1000,main
RA-ALTA/ar-en-intermediate,irregular_plural_subject_verb_agreement_1,0.88,880,1000,main
RA-ALTA/ar-en-phase1-final,irregular_plural_subject_verb_agreement_1,0.553,553,1000,main
RA-ALTA/ar-en-beginner,irregular_plural_subject_verb_agreement_2,0.881,881,1000,main
RA-ALTA/zh-en-phase1-final,matrix_question_npi_licensor_present,0.06,60,1000,main
RA-ALTA/tr-en-fluent,irregular_past_participle_adjectives,0.954,954,1000,main
RA-ALTA/zh-en-beginner,left_branch_island_echo_question,0.533,533,1000,main
RA-ALTA/ar-en-advanced,left_branch_island_echo_question,0.434,434,1000,main
RA-ALTA/ar-en-fluent,left_branch_island_echo_question,0.355,355,1000,main
RA-ALTA/ar-en-intermediate,irregular_plural_subject_verb_agreement_2,0.926,926,1000,main
RA-ALTA/ar-en-phase1-final,irregular_plural_subject_verb_agreement_2,0.532,532,1000,main
RA-ALTA/ar-en-beginner,left_branch_island_echo_question,0.442,442,1000,main
RA-ALTA/zh-en-phase1-final,npi_present_1,0.394,394,1000,main
RA-ALTA/tr-en-fluent,irregular_past_participle_verbs,0.813,813,1000,main
RA-ALTA/zh-en-beginner,left_branch_island_simple_question,0.281,281,1000,main
RA-ALTA/ar-en-advanced,left_branch_island_simple_question,0.305,305,1000,main
RA-ALTA/ar-en-fluent,left_branch_island_simple_question,0.271,271,1000,main
RA-ALTA/ar-en-intermediate,left_branch_island_echo_question,0.385,385,1000,main
RA-ALTA/ar-en-phase1-final,left_branch_island_echo_question,0.691,691,1000,main
RA-ALTA/zh-en-phase1-final,npi_present_2,0.415,415,1000,main
RA-ALTA/ar-en-beginner,left_branch_island_simple_question,0.162,162,1000,main
RA-ALTA/tr-en-fluent,irregular_plural_subject_verb_agreement_1,0.824,824,1000,main
RA-ALTA/zh-en-beginner,matrix_question_npi_licensor_present,0.116,116,1000,main
RA-ALTA/ar-en-advanced,matrix_question_npi_licensor_present,0.248,248,1000,main
RA-ALTA/ar-en-fluent,matrix_question_npi_licensor_present,0.194,194,1000,main
RA-ALTA/ar-en-intermediate,left_branch_island_simple_question,0.242,242,1000,main
RA-ALTA/zh-en-phase1-final,only_npi_licensor_present,0.373,373,1000,main
RA-ALTA/ar-en-phase1-final,left_branch_island_simple_question,0.183,183,1000,main
RA-ALTA/ar-en-beginner,matrix_question_npi_licensor_present,0.126,126,1000,main
RA-ALTA/tr-en-fluent,irregular_plural_subject_verb_agreement_2,0.803,803,1000,main
RA-ALTA/zh-en-beginner,npi_present_1,0.461,461,1000,main
RA-ALTA/ar-en-advanced,npi_present_1,0.494,494,1000,main
RA-ALTA/ar-en-fluent,npi_present_1,0.574,574,1000,main
RA-ALTA/ar-en-intermediate,matrix_question_npi_licensor_present,0.226,226,1000,main
RA-ALTA/zh-en-phase1-final,only_npi_scope,0.355,355,1000,main
RA-ALTA/ar-en-phase1-final,matrix_question_npi_licensor_present,0.097,97,1000,main
RA-ALTA/ar-en-beginner,npi_present_1,0.488,488,1000,main
RA-ALTA/tr-en-fluent,left_branch_island_echo_question,0.375,375,1000,main
RA-ALTA/zh-en-beginner,npi_present_2,0.543,543,1000,main
RA-ALTA/ar-en-advanced,npi_present_2,0.507,507,1000,main
RA-ALTA/ar-en-fluent,npi_present_2,0.551,551,1000,main
RA-ALTA/ar-en-intermediate,npi_present_1,0.473,473,1000,main
RA-ALTA/zh-en-phase1-final,passive_1,0.628,628,1000,main
RA-ALTA/ar-en-beginner,npi_present_2,0.531,531,1000,main
RA-ALTA/ar-en-phase1-final,npi_present_1,0.447,447,1000,main
RA-ALTA/tr-en-fluent,left_branch_island_simple_question,0.462,462,1000,main
RA-ALTA/zh-en-beginner,only_npi_licensor_present,0.433,433,1000,main
RA-ALTA/ar-en-advanced,only_npi_licensor_present,0.484,484,1000,main
RA-ALTA/ar-en-fluent,only_npi_licensor_present,0.653,653,1000,main
RA-ALTA/ar-en-intermediate,npi_present_2,0.503,503,1000,main
RA-ALTA/zh-en-phase1-final,passive_2,0.63,630,1000,main
RA-ALTA/ar-en-beginner,only_npi_licensor_present,0.54,540,1000,main
RA-ALTA/ar-en-phase1-final,npi_present_2,0.396,396,1000,main
RA-ALTA/tr-en-fluent,matrix_question_npi_licensor_present,0.21,210,1000,main
RA-ALTA/zh-en-beginner,only_npi_scope,0.641,641,1000,main
RA-ALTA/ar-en-advanced,only_npi_scope,0.56,560,1000,main
RA-ALTA/ar-en-fluent,only_npi_scope,0.483,483,1000,main
RA-ALTA/ar-en-intermediate,only_npi_licensor_present,0.472,472,1000,main
RA-ALTA/zh-en-phase1-final,principle_A_c_command,0.469,469,1000,main
RA-ALTA/ar-en-beginner,only_npi_scope,0.63,630,1000,main
RA-ALTA/ar-en-phase1-final,only_npi_licensor_present,0.665,665,1000,main
RA-ALTA/tr-en-fluent,npi_present_1,0.514,514,1000,main
RA-ALTA/zh-en-beginner,passive_1,0.873,873,1000,main
RA-ALTA/ar-en-fluent,passive_1,0.9,900,1000,main
RA-ALTA/ar-en-advanced,passive_1,0.869,869,1000,main
RA-ALTA/ar-en-intermediate,only_npi_scope,0.604,604,1000,main
RA-ALTA/zh-en-phase1-final,principle_A_case_1,1.0,1000,1000,main
RA-ALTA/ar-en-beginner,passive_1,0.847,847,1000,main
RA-ALTA/ar-en-phase1-final,only_npi_scope,0.479,479,1000,main
RA-ALTA/tr-en-fluent,npi_present_2,0.545,545,1000,main
RA-ALTA/zh-en-beginner,passive_2,0.89,890,1000,main
RA-ALTA/ar-en-advanced,passive_2,0.871,871,1000,main
RA-ALTA/ar-en-fluent,passive_2,0.887,887,1000,main
RA-ALTA/ar-en-intermediate,passive_1,0.895,895,1000,main
RA-ALTA/zh-en-phase1-final,principle_A_case_2,0.501,501,1000,main
RA-ALTA/ar-en-beginner,passive_2,0.832,832,1000,main
RA-ALTA/ar-en-phase1-final,passive_1,0.72,720,1000,main
RA-ALTA/tr-en-fluent,only_npi_licensor_present,0.264,264,1000,main
RA-ALTA/ar-en-fluent,principle_A_c_command,0.627,627,1000,main
RA-ALTA/ar-en-advanced,principle_A_c_command,0.645,645,1000,main
RA-ALTA/zh-en-beginner,principle_A_c_command,0.643,643,1000,main
RA-ALTA/ar-en-intermediate,passive_2,0.893,893,1000,main
RA-ALTA/zh-en-phase1-final,principle_A_domain_1,0.997,997,1000,main
RA-ALTA/ar-en-beginner,principle_A_c_command,0.666,666,1000,main
RA-ALTA/ar-en-phase1-final,passive_2,0.705,705,1000,main
RA-ALTA/ar-en-fluent,principle_A_case_1,0.998,998,1000,main
RA-ALTA/ar-en-advanced,principle_A_case_1,0.998,998,1000,main
RA-ALTA/zh-en-beginner,principle_A_case_1,1.0,1000,1000,main
RA-ALTA/tr-en-fluent,only_npi_scope,0.152,152,1000,main
RA-ALTA/ar-en-intermediate,principle_A_c_command,0.64,640,1000,main
RA-ALTA/zh-en-phase1-final,principle_A_domain_2,0.576,576,1000,main
RA-ALTA/ar-en-beginner,principle_A_case_1,1.0,1000,1000,main
RA-ALTA/ar-en-phase1-final,principle_A_c_command,0.562,562,1000,main
RA-ALTA/ar-en-fluent,principle_A_case_2,0.94,940,1000,main
RA-ALTA/ar-en-advanced,principle_A_case_2,0.919,919,1000,main
RA-ALTA/zh-en-beginner,principle_A_case_2,0.781,781,1000,main
RA-ALTA/tr-en-fluent,passive_1,0.87,870,1000,main
RA-ALTA/ar-en-intermediate,principle_A_case_1,0.997,997,1000,main
RA-ALTA/zh-en-phase1-final,principle_A_domain_3,0.433,433,1000,main
RA-ALTA/ar-en-beginner,principle_A_case_2,0.752,752,1000,main
RA-ALTA/ar-en-phase1-final,principle_A_case_1,1.0,1000,1000,main
RA-ALTA/ar-en-fluent,principle_A_domain_1,0.968,968,1000,main
RA-ALTA/ar-en-advanced,principle_A_domain_1,0.968,968,1000,main
RA-ALTA/zh-en-beginner,principle_A_domain_1,0.946,946,1000,main
RA-ALTA/tr-en-fluent,passive_2,0.844,844,1000,main
RA-ALTA/ar-en-intermediate,principle_A_case_2,0.869,869,1000,main
RA-ALTA/zh-en-phase1-final,principle_A_reconstruction,0.18,180,1000,main
RA-ALTA/ar-en-beginner,principle_A_domain_1,0.951,951,1000,main
RA-ALTA/ar-en-phase1-final,principle_A_case_2,0.459,459,1000,main
RA-ALTA/ar-en-fluent,principle_A_domain_2,0.78,780,1000,main
RA-ALTA/ar-en-advanced,principle_A_domain_2,0.807,807,1000,main
RA-ALTA/zh-en-beginner,principle_A_domain_2,0.75,750,1000,main
RA-ALTA/tr-en-fluent,principle_A_c_command,0.498,498,1000,main
RA-ALTA/ar-en-intermediate,principle_A_domain_1,0.943,943,1000,main
RA-ALTA/zh-en-phase1-final,regular_plural_subject_verb_agreement_1,0.512,512,1000,main
RA-ALTA/ar-en-beginner,principle_A_domain_2,0.741,741,1000,main
RA-ALTA/ar-en-phase1-final,principle_A_domain_1,0.981,981,1000,main
RA-ALTA/ar-en-fluent,principle_A_domain_3,0.502,502,1000,main
RA-ALTA/ar-en-advanced,principle_A_domain_3,0.507,507,1000,main
RA-ALTA/zh-en-beginner,principle_A_domain_3,0.461,461,1000,main
RA-ALTA/tr-en-fluent,principle_A_case_1,0.998,998,1000,main
RA-ALTA/ar-en-intermediate,principle_A_domain_2,0.787,787,1000,main
RA-ALTA/zh-en-phase1-final,regular_plural_subject_verb_agreement_2,0.466,466,1000,main
RA-ALTA/ar-en-beginner,principle_A_domain_3,0.483,483,1000,main
RA-ALTA/ar-en-phase1-final,principle_A_domain_2,0.593,593,1000,main
RA-ALTA/ar-en-fluent,principle_A_reconstruction,0.327,327,1000,main
RA-ALTA/ar-en-advanced,principle_A_reconstruction,0.371,371,1000,main
RA-ALTA/zh-en-beginner,principle_A_reconstruction,0.339,339,1000,main
RA-ALTA/tr-en-fluent,principle_A_case_2,0.831,831,1000,main
RA-ALTA/ar-en-intermediate,principle_A_domain_3,0.496,496,1000,main
RA-ALTA/zh-en-phase1-final,sentential_negation_npi_licensor_present,1.0,1000,1000,main
RA-ALTA/ar-en-beginner,principle_A_reconstruction,0.266,266,1000,main
RA-ALTA/ar-en-phase1-final,principle_A_domain_3,0.412,412,1000,main
RA-ALTA/ar-en-fluent,regular_plural_subject_verb_agreement_1,0.814,814,1000,main
RA-ALTA/ar-en-advanced,regular_plural_subject_verb_agreement_1,0.848,848,1000,main
RA-ALTA/zh-en-beginner,regular_plural_subject_verb_agreement_1,0.765,765,1000,main
RA-ALTA/tr-en-fluent,principle_A_domain_1,0.919,919,1000,main
RA-ALTA/ar-en-intermediate,principle_A_reconstruction,0.304,304,1000,main
RA-ALTA/zh-en-phase1-final,sentential_negation_npi_scope,0.203,203,1000,main
RA-ALTA/ar-en-beginner,regular_plural_subject_verb_agreement_1,0.787,787,1000,main
RA-ALTA/ar-en-phase1-final,principle_A_reconstruction,0.197,197,1000,main
RA-ALTA/ar-en-fluent,regular_plural_subject_verb_agreement_2,0.892,892,1000,main
RA-ALTA/ar-en-advanced,regular_plural_subject_verb_agreement_2,0.898,898,1000,main
RA-ALTA/zh-en-beginner,regular_plural_subject_verb_agreement_2,0.861,861,1000,main
RA-ALTA/tr-en-fluent,principle_A_domain_2,0.735,735,1000,main
RA-ALTA/ar-en-intermediate,regular_plural_subject_verb_agreement_1,0.793,793,1000,main
RA-ALTA/zh-en-phase1-final,sentential_subject_island,0.333,333,1000,main
RA-ALTA/ar-en-beginner,regular_plural_subject_verb_agreement_2,0.817,817,1000,main
RA-ALTA/ar-en-phase1-final,regular_plural_subject_verb_agreement_1,0.535,535,1000,main
RA-ALTA/ar-en-fluent,sentential_negation_npi_licensor_present,0.999,999,1000,main
RA-ALTA/ar-en-advanced,sentential_negation_npi_licensor_present,0.999,999,1000,main
RA-ALTA/zh-en-beginner,sentential_negation_npi_licensor_present,1.0,1000,1000,main
RA-ALTA/ar-en-intermediate,regular_plural_subject_verb_agreement_2,0.878,878,1000,main
RA-ALTA/tr-en-fluent,principle_A_domain_3,0.493,493,1000,main
RA-ALTA/zh-en-phase1-final,superlative_quantifiers_1,0.385,385,1000,main
RA-ALTA/ar-en-beginner,sentential_negation_npi_licensor_present,1.0,1000,1000,main
