model,blimp_phenomenon,accuracy,n_correct,n_total,checkpoint
RA-ALTA/ar-en-phase1-final,regular_plural_subject_verb_agreement_2,0.513,513,1000,main
RA-ALTA/ar-en-fluent,sentential_negation_npi_scope,0.314,314,1000,main
RA-ALTA/ar-en-advanced,sentential_negation_npi_scope,0.384,384,1000,main
RA-ALTA/zh-en-beginner,sentential_negation_npi_scope,0.367,367,1000,main
RA-ALTA/zh-en-phase1-final,superlative_quantifiers_2,0.891,891,1000,main
RA-ALTA/ar-en-intermediate,sentential_negation_npi_licensor_present,1.0,1000,1000,main
RA-ALTA/tr-en-fluent,principle_A_reconstruction,0.414,414,1000,main
RA-ALTA/ar-en-beginner,sentential_negation_npi_scope,0.341,341,1000,main
RA-ALTA/ar-en-phase1-final,sentential_negation_npi_licensor_present,0.988,988,1000,main
RA-ALTA/ar-en-fluent,sentential_subject_island,0.376,376,1000,main
RA-ALTA/ar-en-advanced,sentential_subject_island,0.379,379,1000,main
RA-ALTA/zh-en-beginner,sentential_subject_island,0.393,393,1000,main
RA-ALTA/zh-en-phase1-final,tough_vs_raising_1,0.462,462,1000,main
RA-ALTA/ar-en-intermediate,sentential_negation_npi_scope,0.311,311,1000,main
RA-ALTA/tr-en-fluent,regular_plural_subject_verb_agreement_1,0.852,852,1000,main
RA-ALTA/ar-en-beginner,sentential_subject_island,0.317,317,1000,main
RA-ALTA/ar-en-phase1-final,sentential_negation_npi_scope,0.325,325,1000,main
RA-ALTA/ar-en-fluent,superlative_quantifiers_1,0.658,658,1000,main
RA-ALTA/ar-en-advanced,superlative_quantifiers_1,0.688,688,1000,main
RA-ALTA/zh-en-beginner,superlative_quantifiers_1,0.628,628,1000,main
RA-ALTA/zh-en-phase1-final,tough_vs_raising_2,0.572,572,1000,main
RA-ALTA/ar-en-intermediate,sentential_subject_island,0.295,295,1000,main
RA-ALTA/tr-en-fluent,regular_plural_subject_verb_agreement_2,0.799,799,1000,main
RA-ALTA/ar-en-beginner,superlative_quantifiers_1,0.571,571,1000,main
RA-ALTA/ar-en-phase1-final,sentential_subject_island,0.492,492,1000,main
RA-ALTA/ar-en-fluent,superlative_quantifiers_2,0.545,545,1000,main
RA-ALTA/ar-en-advanced,superlative_quantifiers_2,0.446,446,1000,main
RA-ALTA/zh-en-beginner,superlative_quantifiers_2,0.744,744,1000,main
RA-ALTA/zh-en-phase1-final,transitive,0.6,600,1000,main
RA-ALTA/ar-en-intermediate,superlative_quantifiers_1,0.625,625,1000,main
RA-ALTA/tr-en-fluent,sentential_negation_npi_licensor_present,0.987,987,1000,main
RA-ALTA/ar-en-beginner,superlative_quantifiers_2,0.716,716,1000,main
RA-ALTA/ar-en-phase1-final,superlative_quantifiers_1,0.486,486,1000,main
RA-ALTA/ar-en-fluent,tough_vs_raising_1,0.443,443,1000,main
RA-ALTA/ar-en-advanced,tough_vs_raising_1,0.435,435,1000,main
RA-ALTA/zh-en-beginner,tough_vs_raising_1,0.287,287,1000,main
RA-ALTA/zh-en-phase1-final,wh_island,0.369,369,1000,main
RA-ALTA/ar-en-intermediate,superlative_quantifiers_2,0.67,670,1000,main
RA-ALTA/tr-en-fluent,sentential_negation_npi_scope,0.313,313,1000,main
RA-ALTA/ar-en-beginner,tough_vs_raising_1,0.348,348,1000,main
RA-ALTA/ar-en-phase1-final,superlative_quantifiers_2,0.887,887,1000,main
RA-ALTA/ar-en-fluent,tough_vs_raising_2,0.912,912,1000,main
RA-ALTA/ar-en-advanced,tough_vs_raising_2,0.906,906,1000,main
RA-ALTA/zh-en-beginner,tough_vs_raising_2,0.882,882,1000,main
RA-ALTA/zh-en-phase1-final,wh_questions_object_gap,0.654,654,1000,main
RA-ALTA/ar-en-intermediate,tough_vs_raising_1,0.39,390,1000,main
RA-ALTA/tr-en-fluent,sentential_subject_island,0.299,299,1000,main
RA-ALTA/ar-en-beginner,tough_vs_raising_2,0.836,836,1000,main
RA-ALTA/ar-en-phase1-final,tough_vs_raising_1,0.473,473,1000,main
RA-ALTA/ar-en-fluent,transitive,0.847,847,1000,main
RA-ALTA/ar-en-advanced,transitive,0.826,826,1000,main
RA-ALTA/zh-en-phase1-final,wh_questions_subject_gap,0.981,981,1000,main
RA-ALTA/zh-en-beginner,transitive,0.785,785,1000,main
RA-ALTA/ar-en-intermediate,tough_vs_raising_2,0.892,892,1000,main
RA-ALTA/tr-en-fluent,superlative_quantifiers_1,0.681,681,1000,main
RA-ALTA/ar-en-beginner,transitive,0.797,797,1000,main
RA-ALTA/ar-en-phase1-final,tough_vs_raising_2,0.606,606,1000,main
RA-ALTA/ar-en-fluent,wh_island,0.667,667,1000,main
RA-ALTA/ar-en-advanced,wh_island,0.631,631,1000,main
RA-ALTA/zh-en-phase1-final,wh_questions_subject_gap_long_distance,0.942,942,1000,main
RA-ALTA/zh-en-beginner,wh_island,0.453,453,1000,main
RA-ALTA/ar-en-intermediate,transitive,0.801,801,1000,main
RA-ALTA/tr-en-fluent,superlative_quantifiers_2,0.966,966,1000,main
RA-ALTA/ar-en-fluent,wh_questions_object_gap,0.73,730,1000,main
RA-ALTA/ar-en-beginner,wh_island,0.437,437,1000,main
RA-ALTA/ar-en-phase1-final,transitive,0.649,649,1000,main
RA-ALTA/zh-en-phase1-final,wh_vs_that_no_gap,0.998,998,1000,main
RA-ALTA/ar-en-advanced,wh_questions_object_gap,0.678,678,1000,main
RA-ALTA/zh-en-beginner,wh_questions_object_gap,0.586,586,1000,main
RA-ALTA/ar-en-intermediate,wh_island,0.581,581,1000,main
RA-ALTA/tr-en-fluent,tough_vs_raising_1,0.364,364,1000,main
RA-ALTA/ar-en-fluent,wh_questions_subject_gap,0.876,876,1000,main
RA-ALTA/ar-en-beginner,wh_questions_object_gap,0.59,590,1000,main
RA-ALTA/ar-en-phase1-final,wh_island,0.478,478,1000,main
RA-ALTA/zh-en-phase1-final,wh_vs_that_no_gap_long_distance,0.99,990,1000,main
RA-ALTA/ar-en-advanced,wh_questions_subject_gap,0.852,852,1000,main
RA-ALTA/zh-en-beginner,wh_questions_subject_gap,0.886,886,1000,main
RA-ALTA/ar-en-intermediate,wh_questions_object_gap,0.611,611,1000,main
RA-ALTA/tr-en-fluent,tough_vs_raising_2,0.867,867,1000,main
RA-ALTA/ar-en-fluent,wh_questions_subject_gap_long_distance,0.863,863,1000,main
RA-ALTA/ar-en-beginner,wh_questions_subject_gap,0.837,837,1000,main
RA-ALTA/ar-en-phase1-final,wh_questions_object_gap,0.649,649,1000,main
RA-ALTA/zh-en-phase1-final,wh_vs_that_with_gap,0.009,9,1000,main
RA-ALTA/ar-en-advanced,wh_questions_subject_gap_long_distance,0.87,870,1000,main
RA-ALTA/zh-en-beginner,wh_questions_subject_gap_long_distance,0.837,837,1000,main
RA-ALTA/ar-en-intermediate,wh_questions_subject_gap,0.842,842,1000,main
RA-ALTA/tr-en-fluent,transitive,0.794,794,1000,main
RA-ALTA/ar-en-fluent,wh_vs_that_no_gap,0.973,973,1000,main
RA-ALTA/ar-en-beginner,wh_questions_subject_gap_long_distance,0.88,880,1000,main
RA-ALTA/ar-en-phase1-final,wh_questions_subject_gap,0.98,980,1000,main
RA-ALTA/zh-en-phase1-final,wh_vs_that_with_gap_long_distance,0.012,12,1000,main
RA-ALTA/ar-en-advanced,wh_vs_that_no_gap,0.957,957,1000,main
RA-ALTA/zh-en-beginner,wh_vs_that_no_gap,0.941,941,1000,main
RA-ALTA/ar-en-intermediate,wh_questions_subject_gap_long_distance,0.86,860,1000,main
RA-ALTA/tr-en-fluent,wh_island,0.468,468,1000,main
RA-ALTA/ar-en-fluent,wh_vs_that_no_gap_long_distance,0.978,978,1000,main
RA-ALTA/ar-en-beginner,wh_vs_that_no_gap,0.965,965,1000,main
RA-ALTA/ar-en-phase1-final,wh_questions_subject_gap_long_distance,0.965,965,1000,main
RA-ALTA/ar-en-advanced,wh_vs_that_no_gap_long_distance,0.976,976,1000,main
RA-ALTA/zh-en-beginner,wh_vs_that_no_gap_long_distance,0.946,946,1000,main
RA-ALTA/ar-en-intermediate,wh_vs_that_no_gap,0.94,940,1000,main
RA-ALTA/tr-en-fluent,wh_questions_object_gap,0.686,686,1000,main
RA-ALTA/ar-en-fluent,wh_vs_that_with_gap,0.46,460,1000,main
RA-ALTA/ar-en-beginner,wh_vs_that_no_gap_long_distance,0.983,983,1000,main
RA-ALTA/ar-en-phase1-final,wh_vs_that_no_gap,0.991,991,1000,main
RA-ALTA/ar-en-advanced,wh_vs_that_with_gap,0.467,467,1000,main
RA-ALTA/zh-en-beginner,wh_vs_that_with_gap,0.288,288,1000,main
RA-ALTA/ar-en-intermediate,wh_vs_that_no_gap_long_distance,0.965,965,1000,main
RA-ALTA/tr-en-fluent,wh_questions_subject_gap,0.852,852,1000,main
RA-ALTA/ar-en-fluent,wh_vs_that_with_gap_long_distance,0.169,169,1000,main
RA-ALTA/ar-en-beginner,wh_vs_that_with_gap,0.293,293,1000,main
RA-ALTA/ar-en-phase1-final,wh_vs_that_no_gap_long_distance,0.989,989,1000,main
RA-ALTA/zh-en-beginner,wh_vs_that_with_gap_long_distance,0.162,162,1000,main
RA-ALTA/ar-en-advanced,wh_vs_that_with_gap_long_distance,0.181,181,1000,main
RA-ALTA/ar-en-intermediate,wh_vs_that_with_gap,0.438,438,1000,main
RA-ALTA/tr-en-fluent,wh_questions_subject_gap_long_distance,0.916,916,1000,main
RA-ALTA/ar-en-beginner,wh_vs_that_with_gap_long_distance,0.096,96,1000,main
RA-ALTA/ar-en-phase1-final,wh_vs_that_with_gap,0.009,9,1000,main
RA-ALTA/ar-en-intermediate,wh_vs_that_with_gap_long_distance,0.2,200,1000,main
RA-ALTA/tr-en-fluent,wh_vs_that_no_gap,0.961,961,1000,main
RA-ALTA/ar-en-phase1-final,wh_vs_that_with_gap_long_distance,0.014,14,1000,main
RA-ALTA/tr-en-fluent,wh_vs_that_no_gap_long_distance,0.981,981,1000,main
RA-ALTA/tr-en-fluent,wh_vs_that_with_gap,0.431,431,1000,main
RA-ALTA/tr-en-fluent,wh_vs_that_with_gap_long_distance,0.182,182,1000,main
RA-ALTA/zh-en-fluent,adjunct_island,0.811,811,1000,main
RA-ALTA/zh-en-fluent,anaphor_gender_agreement,0.74,740,1000,main
RA-ALTA/zh-en-advanced,adjunct_island,0.728,728,1000,main
RA-ALTA/zh-en-fluent,anaphor_number_agreement,0.904,904,1000,main
RA-ALTA/zh-en-advanced,anaphor_gender_agreement,0.659,659,1000,main
RA-ALTA/zh-en-fluent,animate_subject_passive,0.758,758,1000,main
RA-ALTA/zh-en-advanced,anaphor_number_agreement,0.884,884,1000,main
RA-ALTA/zh-en-fluent,animate_subject_trans,0.852,852,1000,main
RA-ALTA/zh-en-advanced,animate_subject_passive,0.744,744,1000,main
RA-ALTA/zh-en-fluent,causative,0.684,684,1000,main
RA-ALTA/zh-en-intermediate,adjunct_island,0.743,743,1000,main
RA-ALTA/zh-en-advanced,animate_subject_trans,0.853,853,1000,main
RA-ALTA/zh-en-fluent,complex_NP_island,0.534,534,1000,main
RA-ALTA/zh-en-intermediate,anaphor_gender_agreement,0.681,681,1000,main
RA-ALTA/zh-en-advanced,causative,0.664,664,1000,main
RA-ALTA/zh-en-fluent,coordinate_structure_constraint_complex_left_branch,0.365,365,1000,main
RA-ALTA/zh-en-intermediate,anaphor_number_agreement,0.845,845,1000,main
RA-ALTA/zh-en-advanced,complex_NP_island,0.479,479,1000,main
RA-ALTA/zh-en-fluent,coordinate_structure_constraint_object_extraction,0.801,801,1000,main
RA-ALTA/zh-en-intermediate,animate_subject_passive,0.745,745,1000,main
RA-ALTA/zh-en-advanced,coordinate_structure_constraint_complex_left_branch,0.317,317,1000,main
RA-ALTA/zh-en-fluent,determiner_noun_agreement_1,0.971,971,1000,main
RA-ALTA/zh-en-intermediate,animate_subject_trans,0.849,849,1000,main
RA-ALTA/zh-en-advanced,coordinate_structure_constraint_object_extraction,0.809,809,1000,main
RA-ALTA/zh-en-fluent,determiner_noun_agreement_2,0.965,965,1000,main
RA-ALTA/zh-en-intermediate,causative,0.684,684,1000,main
RA-ALTA/zh-en-advanced,determiner_noun_agreement_1,0.969,969,1000,main
RA-ALTA/zh-en-fluent,determiner_noun_agreement_irregular_1,0.909,909,1000,main
RA-ALTA/zh-en-intermediate,complex_NP_island,0.476,476,1000,main
RA-ALTA/zh-en-advanced,determiner_noun_agreement_2,0.958,958,1000,main
RA-ALTA/zh-en-fluent,determiner_noun_agreement_irregular_2,0.941,941,1000,main
RA-ALTA/zh-en-intermediate,coordinate_structure_constraint_complex_left_branch,0.323,323,1000,main
RA-ALTA/zh-en-advanced,determiner_noun_agreement_irregular_1,0.87,870,1000,main
RA-ALTA/zh-en-fluent,determiner_noun_agreement_with_adj_2,0.92,920,1000,main
RA-ALTA/zh-en-intermediate,coordinate_structure_constraint_object_extraction,0.826,826,1000,main
RA-ALTA/zh-en-advanced,determiner_noun_agreement_irregular_2,0.895,895,1000,main
RA-ALTA/zh-en-fluent,determiner_noun_agreement_with_adj_irregular_1,0.841,841,1000,main
RA-ALTA/zh-en-intermediate,determiner_noun_agreement_1,0.956,956,1000,main
RA-ALTA/zh-en-advanced,determiner_noun_agreement_with_adj_2,0.925,925,1000,main
RA-ALTA/zh-en-fluent,determiner_noun_agreement_with_adj_irregular_2,0.914,914,1000,main
RA-ALTA/zh-en-intermediate,determiner_noun_agreement_2,0.949,949,1000,main
RA-ALTA/zh-en-advanced,determiner_noun_agreement_with_adj_irregular_1,0.843,843,1000,main
RA-ALTA/zh-en-fluent,determiner_noun_agreement_with_adjective_1,0.916,916,1000,main
RA-ALTA/zh-en-intermediate,determiner_noun_agreement_irregular_1,0.854,854,1000,main
RA-ALTA/zh-en-advanced,determiner_noun_agreement_with_adj_irregular_2,0.894,894,1000,main
RA-ALTA/zh-en-fluent,distractor_agreement_relational_noun,0.809,809,1000,main
RA-ALTA/zh-en-intermediate,determiner_noun_agreement_irregular_2,0.887,887,1000,main
RA-ALTA/zh-en-advanced,determiner_noun_agreement_with_adjective_1,0.924,924,1000,main
RA-ALTA/zh-en-fluent,distractor_agreement_relative_clause,0.571,571,1000,main
RA-ALTA/zh-en-intermediate,determiner_noun_agreement_with_adj_2,0.898,898,1000,main
RA-ALTA/zh-en-advanced,distractor_agreement_relational_noun,0.788,788,1000,main
RA-ALTA/zh-en-fluent,drop_argument,0.751,751,1000,main
RA-ALTA/zh-en-intermediate,determiner_noun_agreement_with_adj_irregular_1,0.792,792,1000,main
RA-ALTA/zh-en-advanced,distractor_agreement_relative_clause,0.491,491,1000,main
RA-ALTA/zh-en-fluent,ellipsis_n_bar_1,0.803,803,1000,main
RA-ALTA/zh-en-intermediate,determiner_noun_agreement_with_adj_irregular_2,0.864,864,1000,main
RA-ALTA/zh-en-advanced,drop_argument,0.743,743,1000,main
RA-ALTA/zh-en-fluent,ellipsis_n_bar_2,0.874,874,1000,main
RA-ALTA/zh-en-intermediate,determiner_noun_agreement_with_adjective_1,0.906,906,1000,main
RA-ALTA/zh-en-advanced,ellipsis_n_bar_1,0.771,771,1000,main
RA-ALTA/zh-en-fluent,existential_there_object_raising,0.821,821,1000,main
RA-ALTA/zh-en-intermediate,distractor_agreement_relational_noun,0.781,781,1000,main
RA-ALTA/zh-en-advanced,ellipsis_n_bar_2,0.886,886,1000,main
RA-ALTA/zh-en-fluent,existential_there_quantifiers_1,0.953,953,1000,main
RA-ALTA/zh-en-intermediate,distractor_agreement_relative_clause,0.484,484,1000,main
RA-ALTA/zh-en-advanced,existential_there_object_raising,0.832,832,1000,main
RA-ALTA/zh-en-fluent,existential_there_quantifiers_2,0.485,485,1000,main
RA-ALTA/zh-en-intermediate,drop_argument,0.746,746,1000,main
RA-ALTA/zh-en-advanced,existential_there_quantifiers_1,0.977,977,1000,main
RA-ALTA/zh-en-fluent,existential_there_subject_raising,0.853,853,1000,main
RA-ALTA/zh-en-intermediate,ellipsis_n_bar_1,0.783,783,1000,main
RA-ALTA/zh-en-advanced,existential_there_quantifiers_2,0.595,595,1000,main
RA-ALTA/zh-en-fluent,expletive_it_object_raising,0.757,757,1000,main
RA-ALTA/zh-en-intermediate,ellipsis_n_bar_2,0.857,857,1000,main
RA-ALTA/zh-en-advanced,existential_there_subject_raising,0.828,828,1000,main
RA-ALTA/zh-en-fluent,inchoative,0.632,632,1000,main
RA-ALTA/zh-en-intermediate,existential_there_object_raising,0.814,814,1000,main
RA-ALTA/zh-en-advanced,expletive_it_object_raising,0.729,729,1000,main
RA-ALTA/zh-en-fluent,intransitive,0.737,737,1000,main
RA-ALTA/zh-en-intermediate,existential_there_quantifiers_1,0.953,953,1000,main
RA-ALTA/zh-en-advanced,inchoative,0.604,604,1000,main
RA-ALTA/zh-en-fluent,irregular_past_participle_adjectives,0.966,966,1000,main
RA-ALTA/zh-en-intermediate,existential_there_quantifiers_2,0.573,573,1000,main
RA-ALTA/zh-en-advanced,intransitive,0.734,734,1000,main
RA-ALTA/zh-en-fluent,irregular_past_participle_verbs,0.807,807,1000,main
RA-ALTA/zh-en-intermediate,existential_there_subject_raising,0.836,836,1000,main
RA-ALTA/zh-en-advanced,irregular_past_participle_adjectives,0.951,951,1000,main
RA-ALTA/zh-en-fluent,irregular_plural_subject_verb_agreement_1,0.881,881,1000,main
RA-ALTA/zh-en-intermediate,expletive_it_object_raising,0.753,753,1000,main
RA-ALTA/zh-en-advanced,irregular_past_participle_verbs,0.81,810,1000,main
RA-ALTA/zh-en-fluent,irregular_plural_subject_verb_agreement_2,0.914,914,1000,main
RA-ALTA/zh-en-intermediate,inchoative,0.551,551,1000,main
RA-ALTA/zh-en-advanced,irregular_plural_subject_verb_agreement_1,0.873,873,1000,main
RA-ALTA/zh-en-fluent,left_branch_island_echo_question,0.397,397,1000,main
RA-ALTA/zh-en-intermediate,intransitive,0.689,689,1000,main
RA-ALTA/zh-en-advanced,irregular_plural_subject_verb_agreement_2,0.903,903,1000,main
RA-ALTA/zh-en-fluent,left_branch_island_simple_question,0.387,387,1000,main
RA-ALTA/zh-en-intermediate,irregular_past_participle_adjectives,0.929,929,1000,main
RA-ALTA/zh-en-advanced,left_branch_island_echo_question,0.406,406,1000,main
RA-ALTA/zh-en-fluent,matrix_question_npi_licensor_present,0.258,258,1000,main
RA-ALTA/zh-en-intermediate,irregular_past_participle_verbs,0.82,820,1000,main
RA-ALTA/zh-en-advanced,left_branch_island_simple_question,0.353,353,1000,main
RA-ALTA/zh-en-fluent,npi_present_1,0.494,494,1000,main
RA-ALTA/zh-en-intermediate,irregular_plural_subject_verb_agreement_1,0.849,849,1000,main
RA-ALTA/zh-en-advanced,matrix_question_npi_licensor_present,0.189,189,1000,main
RA-ALTA/zh-en-fluent,npi_present_2,0.558,558,1000,main
RA-ALTA/zh-en-intermediate,irregular_plural_subject_verb_agreement_2,0.897,897,1000,main
RA-ALTA/zh-en-advanced,npi_present_1,0.54,540,1000,main
RA-ALTA/zh-en-fluent,only_npi_licensor_present,0.62,620,1000,main
RA-ALTA/zh-en-intermediate,left_branch_island_echo_question,0.431,431,1000,main
RA-ALTA/zh-en-advanced,npi_present_2,0.516,516,1000,main
RA-ALTA/zh-en-fluent,only_npi_scope,0.583,583,1000,main
RA-ALTA/zh-en-intermediate,left_branch_island_simple_question,0.353,353,1000,main
RA-ALTA/zh-en-advanced,only_npi_licensor_present,0.535,535,1000,main
RA-ALTA/zh-en-fluent,passive_1,0.895,895,1000,main
RA-ALTA/zh-en-advanced,only_npi_scope,0.565,565,1000,main
RA-ALTA/zh-en-intermediate,matrix_question_npi_licensor_present,0.151,151,1000,main
RA-ALTA/zh-en-fluent,passive_2,0.903,903,1000,main
RA-ALTA/zh-en-advanced,passive_1,0.881,881,1000,main
RA-ALTA/zh-en-intermediate,npi_present_1,0.425,425,1000,main
RA-ALTA/zh-en-fluent,principle_A_c_command,0.63,630,1000,main
RA-ALTA/zh-en-advanced,passive_2,0.886,886,1000,main
RA-ALTA/zh-en-intermediate,npi_present_2,0.497,497,1000,main
RA-ALTA/zh-en-fluent,principle_A_case_1,1.0,1000,1000,main
RA-ALTA/zh-en-advanced,principle_A_c_command,0.607,607,1000,main
RA-ALTA/zh-en-intermediate,only_npi_licensor_present,0.43,430,1000,main
RA-ALTA/zh-en-fluent,principle_A_case_2,0.916,916,1000,main
RA-ALTA/zh-en-advanced,principle_A_case_1,1.0,1000,1000,main
RA-ALTA/zh-en-intermediate,only_npi_scope,0.477,477,1000,main
RA-ALTA/zh-en-fluent,principle_A_domain_1,0.97,970,1000,main
RA-ALTA/zh-en-advanced,principle_A_case_2,0.874,874,1000,main
RA-ALTA/zh-en-intermediate,passive_1,0.871,871,1000,main
RA-ALTA/zh-en-fluent,principle_A_domain_2,0.792,792,1000,main
RA-ALTA/zh-en-advanced,principle_A_domain_1,0.982,982,1000,main
RA-ALTA/zh-en-intermediate,passive_2,0.883,883,1000,main
RA-ALTA/zh-en-fluent,principle_A_domain_3,0.474,474,1000,main
RA-ALTA/zh-en-advanced,principle_A_domain_2,0.795,795,1000,main
RA-ALTA/zh-en-intermediate,principle_A_c_command,0.652,652,1000,main
RA-ALTA/zh-en-fluent,principle_A_reconstruction,0.242,242,1000,main
RA-ALTA/zh-en-advanced,principle_A_domain_3,0.487,487,1000,main
RA-ALTA/zh-en-intermediate,principle_A_case_1,1.0,1000,1000,main
RA-ALTA/zh-en-fluent,regular_plural_subject_verb_agreement_1,0.83,830,1000,main
RA-ALTA/zh-en-advanced,principle_A_reconstruction,0.293,293,1000,main
RA-ALTA/zh-en-intermediate,principle_A_case_2,0.834,834,1000,main
RA-ALTA/zh-en-fluent,regular_plural_subject_verb_agreement_2,0.91,910,1000,main
RA-ALTA/zh-en-advanced,regular_plural_subject_verb_agreement_1,0.827,827,1000,main
RA-ALTA/zh-en-intermediate,principle_A_domain_1,0.988,988,1000,main
RA-ALTA/zh-en-fluent,sentential_negation_npi_licensor_present,0.991,991,1000,main
RA-ALTA/zh-en-advanced,regular_plural_subject_verb_agreement_2,0.898,898,1000,main
RA-ALTA/zh-en-intermediate,principle_A_domain_2,0.771,771,1000,main
RA-ALTA/zh-en-fluent,sentential_negation_npi_scope,0.406,406,1000,main
RA-ALTA/zh-en-advanced,sentential_negation_npi_licensor_present,0.998,998,1000,main
RA-ALTA/zh-en-intermediate,principle_A_domain_3,0.469,469,1000,main
RA-ALTA/zh-en-fluent,sentential_subject_island,0.389,389,1000,main
RA-ALTA/zh-en-advanced,sentential_negation_npi_scope,0.345,345,1000,main
RA-ALTA/zh-en-intermediate,principle_A_reconstruction,0.285,285,1000,main
RA-ALTA/zh-en-fluent,superlative_quantifiers_1,0.634,634,1000,main
RA-ALTA/zh-en-advanced,sentential_subject_island,0.402,402,1000,main
RA-ALTA/zh-en-intermediate,regular_plural_subject_verb_agreement_1,0.809,809,1000,main
RA-ALTA/zh-en-fluent,superlative_quantifiers_2,0.69,690,1000,main
RA-ALTA/zh-en-advanced,superlative_quantifiers_1,0.699,699,1000,main
RA-ALTA/zh-en-intermediate,regular_plural_subject_verb_agreement_2,0.899,899,1000,main
RA-ALTA/zh-en-fluent,tough_vs_raising_1,0.44,440,1000,main
RA-ALTA/zh-en-advanced,superlative_quantifiers_2,0.748,748,1000,main
RA-ALTA/zh-en-intermediate,sentential_negation_npi_licensor_present,0.998,998,1000,main
RA-ALTA/zh-en-fluent,tough_vs_raising_2,0.905,905,1000,main
RA-ALTA/zh-en-advanced,tough_vs_raising_1,0.368,368,1000,main
RA-ALTA/zh-en-intermediate,sentential_negation_npi_scope,0.407,407,1000,main
RA-ALTA/zh-en-fluent,transitive,0.835,835,1000,main
RA-ALTA/zh-en-advanced,tough_vs_raising_2,0.899,899,1000,main
RA-ALTA/zh-en-intermediate,sentential_subject_island,0.333,333,1000,main
RA-ALTA/zh-en-fluent,wh_island,0.737,737,1000,main
RA-ALTA/zh-en-advanced,transitive,0.811,811,1000,main
RA-ALTA/zh-en-intermediate,superlative_quantifiers_1,0.619,619,1000,main
RA-ALTA/zh-en-fluent,wh_questions_object_gap,0.674,674,1000,main
RA-ALTA/zh-en-advanced,wh_island,0.585,585,1000,main
RA-ALTA/zh-en-intermediate,superlative_quantifiers_2,0.695,695,1000,main
RA-ALTA/zh-en-fluent,wh_questions_subject_gap,0.888,888,1000,main
RA-ALTA/zh-en-advanced,wh_questions_object_gap,0.701,701,1000,main
RA-ALTA/zh-en-intermediate,tough_vs_raising_1,0.346,346,1000,main
RA-ALTA/zh-en-fluent,wh_questions_subject_gap_long_distance,0.826,826,1000,main
RA-ALTA/zh-en-advanced,wh_questions_subject_gap,0.864,864,1000,main
RA-ALTA/zh-en-intermediate,tough_vs_raising_2,0.91,910,1000,main
RA-ALTA/zh-en-fluent,wh_vs_that_no_gap,0.951,951,1000,main
RA-ALTA/zh-en-advanced,wh_questions_subject_gap_long_distance,0.819,819,1000,main
RA-ALTA/zh-en-intermediate,transitive,0.81,810,1000,main
RA-ALTA/zh-en-fluent,wh_vs_that_no_gap_long_distance,0.953,953,1000,main
RA-ALTA/zh-en-advanced,wh_vs_that_no_gap,0.966,966,1000,main
RA-ALTA/zh-en-intermediate,wh_island,0.586,586,1000,main
RA-ALTA/zh-en-fluent,wh_vs_that_with_gap,0.533,533,1000,main
RA-ALTA/zh-en-advanced,wh_vs_that_no_gap_long_distance,0.976,976,1000,main
RA-ALTA/zh-en-intermediate,wh_questions_object_gap,0.702,702,1000,main
RA-ALTA/zh-en-fluent,wh_vs_that_with_gap_long_distance,0.294,294,1000,main
RA-ALTA/zh-en-advanced,wh_vs_that_with_gap,0.425,425,1000,main
RA-ALTA/zh-en-intermediate,wh_questions_subject_gap,0.918,918,1000,main
RA-ALTA/zh-en-advanced,wh_vs_that_with_gap_long_distance,0.211,211,1000,main
RA-ALTA/zh-en-intermediate,wh_questions_subject_gap_long_distance,0.863,863,1000,main
RA-ALTA/zh-en-intermediate,wh_vs_that_no_gap,0.961,961,1000,main
RA-ALTA/zh-en-intermediate,wh_vs_that_no_gap_long_distance,0.971,971,1000,main
RA-ALTA/zh-en-intermediate,wh_vs_that_with_gap,0.388,388,1000,main
RA-ALTA/zh-en-intermediate,wh_vs_that_with_gap_long_distance,0.179,179,1000,main
