,BeetleLM/beetlelm_fas_mono,BeetleLM/beetlelm_zho-fas_balanced,BeetleLM/beetlelm_fas-ukr_balanced,BeetleLM/beetlelm_fas-eng_balanced,BeetleLM/beetlelm_fas-nld_balanced,BeetleLM/beetlelm_fas-ind_balanced,BeetleLM/beetlelm_fas-bul_balanced,BeetleLM/beetlelm_fas-fra_balanced,BeetleLM/beetlelm_fas-deu_balanced,BeetleLM/beetlelm_fas-deu_simultaneous,BeetleLM/beetlelm_fas-nld_simultaneous,BeetleLM/beetlelm_fas-nld_sequential,BeetleLM/beetlelm_fas-deu_sequential,BeetleLM/beetlelm_fas-ind_part_time,BeetleLM/beetlelm_fas-bul_part_time,BeetleLM/beetlelm_fas-eng_part_time,BeetleLM/beetlelm_fas-nld_part_time,BeetleLM/beetlelm_fas-deu_part_time,BeetleLM/beetlelm_zho-fas_late,BeetleLM/beetlelm_fas-ind_late,BeetleLM/beetlelm_fas-eng_late,BeetleLM/beetlelm_fas-ukr_late,BeetleLM/beetlelm_fas-nld_late,BeetleLM/beetlelm_fas-deu_late,BeetleLM/beetlelm_zho-fas_heritage,BeetleLM/beetlelm_fas-ukr_heritage,BeetleLM/beetlelm_fas-ind_heritage,BeetleLM/beetlelm_fas-bul_heritage,BeetleLM/beetlelm_fas-fra_heritage,BeetleLM/beetlelm_fas-deu_heritage
BeetleLM/beetlelm_fas_mono,1.0000000000000002,0.993148723271097,0.9849093701864348,0.988546039873778,0.9875228362021786,0.9872294611035207,0.990018406266802,0.9922629411812254,0.9888116538300895,0.9888309049264435,0.9875069187150147,0.9875009893681688,0.9888309817526156,0.9872244198611544,0.9899959289802157,0.9885180769387724,0.9875009893681688,0.9888309817526156,0.99319054275425,0.9872244198611544,0.9885180769387724,0.9849279008030423,0.9875009893681688,0.9888309817526156,0.9931239616734093,0.9849348715173444,0.9872369473837769,0.9900053818704416,0.9922467935468053,0.9888347972696209
BeetleLM/beetlelm_zho-fas_balanced,0.993148723271097,1.0000000000000002,0.983581005837185,0.9869947703173213,0.9841250732490895,0.9869020912605485,0.9868089672727747,0.9896648951469333,0.9891491631862094,0.9891719973464026,0.9840979410426884,0.9840874058548893,0.9891744450073902,0.9869097192673073,0.9867413987704984,0.9869493285162216,0.9840874058548893,0.9891744450073902,0.9999982327514526,0.9869097192673073,0.9869493285162216,0.9836055828477871,0.9840874058548893,0.9891744450073902,0.9999979120099043,0.983618426877277,0.9869116701568359,0.9867516685272383,0.9896430758495115,0.9891718667183436
BeetleLM/beetlelm_fas-ukr_balanced,0.9849093701864348,0.983581005837185,1.0,0.9864380741970307,0.9876888116711502,0.9885507736319891,0.9837657394048882,0.9878391904373405,0.9907024640837059,0.9907003192387664,0.9876871317412821,0.9876914422312263,0.9907066852163027,0.9885352961996605,0.9837300862909247,0.9864263284143321,0.9876914422312263,0.9907066852163027,0.9836254759129442,0.9885352961996605,0.9864263284143321,0.9999998973445726,0.9876914422312263,0.9907066852163027,0.9835274165822777,0.9999998065430644,0.988550468731114,0.983729241776568,0.9878377836354997,0.990708133817265
BeetleLM/beetlelm_fas-eng_balanced,0.988546039873778,0.9869947703173213,0.9864380741970307,1.0,0.9835152061968607,0.9872789024544278,0.9865709302328511,0.9872971301061623,0.987217160184658,0.987235626678558,0.983513445491477,0.9835086414518508,0.9872411559198859,0.9872868250141843,0.9865620023383915,0.9999994587302775,0.9835086414518508,0.9872411559198859,0.9870511523938592,0.9872868250141843,0.9999994587302775,0.9864602667717888,0.9835086414518508,0.9872411559198859,0.9869349327942966,0.9864675197348858,0.9872931149748422,0.9865649448775761,0.987278778776499,0.9872386916996433
BeetleLM/beetlelm_fas-nld_balanced,0.9875228362021786,0.9841250732490895,0.9876888116711502,0.9835152061968607,1.0,0.9878056418352957,0.9849783437095104,0.9873155468932799,0.9895074383441383,0.9895252239084392,0.9999995503362695,0.999999258451361,0.9895287857056454,0.987788627878259,0.9849429485358673,0.9835102585416033,0.999999258451361,0.9895287857056454,0.9841980357854382,0.987788627878259,0.9835102585416033,0.9876992458957274,0.999999258451361,0.9895287857056454,0.9840697013786808,0.987700082901329,0.9878096008907384,0.9849507652708116,0.9873114082159471,0.9895282479480372
BeetleLM/beetlelm_fas-ind_balanced,0.9872294611035207,0.9869020912605485,0.9885507736319891,0.9872789024544278,0.9878056418352957,1.0000000000000002,0.9846918780113066,0.990828398347129,0.9899334085934797,0.9899493586272313,0.9878011117277242,0.987794098633448,0.9899584154386692,0.99999986234481,0.9846515633417606,0.9872593746818547,0.987794098633448,0.9899584154386692,0.9869785974181895,0.99999986234481,0.9872593746818547,0.9885718541292452,0.987794098633448,0.9899584154386692,0.9868260293471529,0.9885766125438864,0.9999999624833342,0.9846581405196212,0.9908281937187234,0.9899472324677744
BeetleLM/beetlelm_fas-bul_balanced,0.990018406266802,0.9868089672727747,0.9837657394048882,0.9865709302328511,0.9849783437095104,0.9846918780113066,1.0000000000000002,0.9914862258572122,0.9850840629951029,0.9850861501489664,0.9849900765704206,0.984984822593866,0.9850983962539026,0.9846848840470748,0.999999311312495,0.9865750735804282,0.984984822593866,0.9850983962539026,0.9869095514678777,0.9846848840470748,0.9865750735804282,0.983772159221826,0.984984822593866,0.9850983962539026,0.9867042891576754,0.9837760291937864,0.9846999272088844,0.9999995207267799,0.9914922942609745,0.985099901884155
BeetleLM/beetlelm_fas-fra_balanced,0.9922629411812254,0.9896648951469333,0.9878391904373405,0.9872971301061623,0.9873155468932799,0.990828398347129,0.9914862258572122,1.0000000000000002,0.9896066733096809,0.9896176536652806,0.9873147695354747,0.9873053321234833,0.9896243053577863,0.9908161166443485,0.9914683254468035,0.9872815094018165,0.9873053321234833,0.9896243053577863,0.9897144919446087,0.9908161166443485,0.9872815094018165,0.9878504769862531,0.9873053321234833,0.9896243053577863,0.9896196880927302,0.9878550924895567,0.9908300778379765,0.9914753018140063,0.9999998388866118,0.9896227437420849
BeetleLM/beetlelm_fas-deu_balanced,0.9888116538300895,0.9891491631862094,0.9907024640837059,0.987217160184658,0.9895074383441383,0.9899334085934797,0.9850840629951029,0.9896066733096809,1.0000000000000002,0.9999998370505936,0.9895093670680325,0.9895122893657979,0.9999998532795041,0.9899161417954191,0.9850586119453039,0.9872081231984725,0.9895122893657979,0.9999998532795041,0.9892052973791454,0.9899161417954191,0.9872081231984725,0.9907010794775333,0.9895122893657979,0.9999998532795041,0.9891195584954022,0.990698873726498,0.9899315256045017,0.9850556361416165,0.9896046642417978,0.9999998939338615
BeetleLM/beetlelm_fas-deu_simultaneous,0.9888309049264435,0.9891719973464026,0.9907003192387664,0.987235626678558,0.9895252239084392,0.9899493586272313,0.9850861501489664,0.9896176536652806,0.9999998370505936,1.0,0.9895269099681901,0.989529715521154,0.9999999827973937,0.9899323416894831,0.9850603797722383,0.9872263610434447,0.989529715521154,0.9999999827973937,0.9892275356120281,0.9899323416894831,0.9872263610434447,0.9906991282697766,0.989529715521154,0.9999999827973937,0.9891429210683421,0.9906969928937013,0.9899475579359654,0.9850574929193265,0.9896153945730087,0.9999999770244908
BeetleLM/beetlelm_fas-nld_simultaneous,0.9875069187150147,0.9840979410426884,0.9876871317412821,0.983513445491477,0.9999995503362695,0.9878011117277242,0.9849900765704206,0.9873147695354747,0.9895093670680325,0.9895269099681901,0.9999999999999998,0.9999999415121789,0.9895304828930594,0.9877838459512371,0.9849553329605039,0.9835091981525911,0.9999999415121789,0.9895304828930594,0.9841721446422818,0.9877838459512371,0.9835091981525911,0.9876974422396031,0.9999999415121789,0.9895304828930594,0.9840412740084807,0.9876981700850499,0.9878049766182372,0.9849629737711456,0.9873109654794909,0.9895300095899362
BeetleLM/beetlelm_fas-nld_sequential,0.9875009893681688,0.9840874058548893,0.9876914422312263,0.9835086414518508,0.999999258451361,0.987794098633448,0.984984822593866,0.9873053321234833,0.9895122893657979,0.989529715521154,0.9999999415121789,0.9999999999999998,0.9895332852272536,0.9877767159952842,0.9849502922252947,0.9835046322333076,0.9999999999999998,0.9895332852272536,0.9841620294471575,0.9877767159952842,0.9835046322333076,0.9877016854026434,0.9999999999999998,0.9895332852272536,0.9840303564690553,0.9877023721868066,0.9877979257598046,0.9849578684132216,0.987301648954305,0.9895328469224626
BeetleLM/beetlelm_fas-deu_sequential,0.9888309817526156,0.9891744450073902,0.9907066852163027,0.9872411559198859,0.9895287857056454,0.9899584154386692,0.9850983962539026,0.9896243053577863,0.9999998532795041,0.9999999827973937,0.9895304828930594,0.9895332852272536,0.9999999999999998,0.989941391458609,0.9850726731884342,0.9872319286909748,0.9895332852272536,0.9999999999999998,0.9892300623256917,0.989941391458609,0.9872319286909748,0.9907054958859852,0.9895332852272536,0.9999999999999998,0.9891452386486194,0.9907033628075294,0.9899566107307366,0.9850697733929688,0.9896220870624007,0.9999999783633379
BeetleLM/beetlelm_fas-ind_part_time,0.9872244198611544,0.9869097192673073,0.9885352961996605,0.9872868250141843,0.987788627878259,0.99999986234481,0.9846848840470748,0.9908161166443485,0.9899161417954191,0.9899323416894831,0.9877838459512371,0.9877767159952842,0.989941391458609,0.9999999999999998,0.9846442693959978,0.9872670510970347,0.9877767159952842,0.989941391458609,0.9869857721342666,0.9999999999999998,0.9872670510970347,0.9885565272189972,0.9877767159952842,0.989941391458609,0.9868340254487163,0.9885613565354974,0.9999999238932167,0.9846509059101842,0.9908157068301136,0.9899301579252843
BeetleLM/beetlelm_fas-bul_part_time,0.9899959289802157,0.9867413987704984,0.9837300862909247,0.9865620023383915,0.9849429485358673,0.9846515633417606,0.999999311312495,0.9914683254468035,0.9850586119453039,0.9850603797722383,0.9849553329605039,0.9849502922252947,0.9850726731884342,0.9846442693959978,1.0,0.9865668883706213,0.9849502922252947,0.9850726731884342,0.9868432366298974,0.9846442693959978,0.9865668883706213,0.9837363550943151,0.9849502922252947,0.9850726731884342,0.9866355085802276,0.9837400920382358,0.9846595224186409,0.9999999499150309,0.9914747051321452,0.9850742318362599
BeetleLM/beetlelm_fas-eng_part_time,0.9885180769387724,0.9869493285162216,0.9864263284143321,0.9999994587302775,0.9835102585416033,0.9872593746818547,0.9865750735804282,0.9872815094018165,0.9872081231984725,0.9872263610434447,0.9835091981525911,0.9835046322333076,0.9872319286909748,0.9872670510970347,0.9865668883706213,0.9999999999999998,0.9835046322333076,0.9872319286909748,0.9870068654933251,0.9872670510970347,0.9999999999999998,0.9864484335193848,0.9835046322333076,0.9872319286909748,0.9868882578533009,0.9864555508723675,0.9872734838759342,0.9865696448149783,0.9872635055997546,0.9872295081515439
BeetleLM/beetlelm_fas-nld_part_time,0.9875009893681688,0.9840874058548893,0.9876914422312263,0.9835086414518508,0.999999258451361,0.987794098633448,0.984984822593866,0.9873053321234833,0.9895122893657979,0.989529715521154,0.9999999415121789,0.9999999999999998,0.9895332852272536,0.9877767159952842,0.9849502922252947,0.9835046322333076,0.9999999999999998,0.9895332852272536,0.9841620294471575,0.9877767159952842,0.9835046322333076,0.9877016854026434,0.9999999999999998,0.9895332852272536,0.9840303564690553,0.9877023721868066,0.9877979257598046,0.9849578684132216,0.987301648954305,0.9895328469224626
BeetleLM/beetlelm_fas-deu_part_time,0.9888309817526156,0.9891744450073902,0.9907066852163027,0.9872411559198859,0.9895287857056454,0.9899584154386692,0.9850983962539026,0.9896243053577863,0.9999998532795041,0.9999999827973937,0.9895304828930594,0.9895332852272536,0.9999999999999998,0.989941391458609,0.9850726731884342,0.9872319286909748,0.9895332852272536,0.9999999999999998,0.9892300623256917,0.989941391458609,0.9872319286909748,0.9907054958859852,0.9895332852272536,0.9999999999999998,0.9891452386486194,0.9907033628075294,0.9899566107307366,0.9850697733929688,0.9896220870624007,0.9999999783633379
BeetleLM/beetlelm_zho-fas_late,0.99319054275425,0.9999982327514526,0.9836254759129442,0.9870511523938592,0.9841980357854382,0.9869785974181895,0.9869095514678777,0.9897144919446087,0.9892052973791454,0.9892275356120281,0.9841721446422818,0.9841620294471575,0.9892300623256917,0.9869857721342666,0.9868432366298974,0.9870068654933251,0.9841620294471575,0.9892300623256917,1.0000000000000002,0.9869857721342666,0.9870068654933251,0.9836497819652287,0.9841620294471575,0.9892300623256917,0.9999929759352438,0.9836624146730516,0.9869879995693366,0.9868531135899876,0.9896934393441759,0.9892275722897733
BeetleLM/beetlelm_fas-ind_late,0.9872244198611544,0.9869097192673073,0.9885352961996605,0.9872868250141843,0.987788627878259,0.99999986234481,0.9846848840470748,0.9908161166443485,0.9899161417954191,0.9899323416894831,0.9877838459512371,0.9877767159952842,0.989941391458609,0.9999999999999998,0.9846442693959978,0.9872670510970347,0.9877767159952842,0.989941391458609,0.9869857721342666,0.9999999999999998,0.9872670510970347,0.9885565272189972,0.9877767159952842,0.989941391458609,0.9868340254487163,0.9885613565354974,0.9999999238932167,0.9846509059101842,0.9908157068301136,0.9899301579252843
BeetleLM/beetlelm_fas-eng_late,0.9885180769387724,0.9869493285162216,0.9864263284143321,0.9999994587302775,0.9835102585416033,0.9872593746818547,0.9865750735804282,0.9872815094018165,0.9872081231984725,0.9872263610434447,0.9835091981525911,0.9835046322333076,0.9872319286909748,0.9872670510970347,0.9865668883706213,0.9999999999999998,0.9835046322333076,0.9872319286909748,0.9870068654933251,0.9872670510970347,0.9999999999999998,0.9864484335193848,0.9835046322333076,0.9872319286909748,0.9868882578533009,0.9864555508723675,0.9872734838759342,0.9865696448149783,0.9872635055997546,0.9872295081515439
BeetleLM/beetlelm_fas-ukr_late,0.9849279008030423,0.9836055828477871,0.9999998973445726,0.9864602667717888,0.9876992458957274,0.9885718541292452,0.983772159221826,0.9878504769862531,0.9907010794775333,0.9906991282697766,0.9876974422396031,0.9877016854026434,0.9907054958859852,0.9885565272189972,0.9837363550943151,0.9864484335193848,0.9877016854026434,0.9907054958859852,0.9836497819652287,0.9885565272189972,0.9864484335193848,0.9999999999999998,0.9877016854026434,0.9907054958859852,0.9835520838231852,0.9999999625383914,0.9885715759769372,0.9837355572408949,0.9878489230556028,0.9907068963641683
BeetleLM/beetlelm_fas-nld_late,0.9875009893681688,0.9840874058548893,0.9876914422312263,0.9835086414518508,0.999999258451361,0.987794098633448,0.984984822593866,0.9873053321234833,0.9895122893657979,0.989529715521154,0.9999999415121789,0.9999999999999998,0.9895332852272536,0.9877767159952842,0.9849502922252947,0.9835046322333076,0.9999999999999998,0.9895332852272536,0.9841620294471575,0.9877767159952842,0.9835046322333076,0.9877016854026434,0.9999999999999998,0.9895332852272536,0.9840303564690553,0.9877023721868066,0.9877979257598046,0.9849578684132216,0.987301648954305,0.9895328469224626
BeetleLM/beetlelm_fas-deu_late,0.9888309817526156,0.9891744450073902,0.9907066852163027,0.9872411559198859,0.9895287857056454,0.9899584154386692,0.9850983962539026,0.9896243053577863,0.9999998532795041,0.9999999827973937,0.9895304828930594,0.9895332852272536,0.9999999999999998,0.989941391458609,0.9850726731884342,0.9872319286909748,0.9895332852272536,0.9999999999999998,0.9892300623256917,0.989941391458609,0.9872319286909748,0.9907054958859852,0.9895332852272536,0.9999999999999998,0.9891452386486194,0.9907033628075294,0.9899566107307366,0.9850697733929688,0.9896220870624007,0.9999999783633379
BeetleLM/beetlelm_zho-fas_heritage,0.9931239616734093,0.9999979120099043,0.9835274165822777,0.9869349327942966,0.9840697013786808,0.9868260293471529,0.9867042891576754,0.9896196880927302,0.9891195584954022,0.9891429210683421,0.9840412740084807,0.9840303564690553,0.9891452386486194,0.9868340254487163,0.9866355085802276,0.9868882578533009,0.9840303564690553,0.9891452386486194,0.9999929759352438,0.9868340254487163,0.9868882578533009,0.9835520838231852,0.9840303564690553,0.9891452386486194,0.9999999999999998,0.9835651443605625,0.986835797163798,0.9866461805854154,0.9895971085483183,0.9891426170149153
BeetleLM/beetlelm_fas-ukr_heritage,0.9849348715173444,0.983618426877277,0.9999998065430644,0.9864675197348858,0.987700082901329,0.9885766125438864,0.9837760291937864,0.9878550924895567,0.990698873726498,0.9906969928937013,0.9876981700850499,0.9877023721868066,0.9907033628075294,0.9885613565354974,0.9837400920382358,0.9864555508723675,0.9877023721868066,0.9907033628075294,0.9836624146730516,0.9885613565354974,0.9864555508723675,0.9999999625383914,0.9877023721868066,0.9907033628075294,0.9835651443605625,1.0,0.9885763598483934,0.983739331263511,0.9878534645151484,0.9907047531972334
BeetleLM/beetlelm_fas-ind_heritage,0.9872369473837769,0.9869116701568359,0.988550468731114,0.9872931149748422,0.9878096008907384,0.9999999624833342,0.9846999272088844,0.9908300778379765,0.9899315256045017,0.9899475579359654,0.9878049766182372,0.9877979257598046,0.9899566107307366,0.9999999238932167,0.9846595224186409,0.9872734838759342,0.9877979257598046,0.9899566107307366,0.9869879995693366,0.9999999238932167,0.9872734838759342,0.9885715759769372,0.9877979257598046,0.9899566107307366,0.986835797163798,0.9885763598483934,1.0,0.9846661256221189,0.9908298016678934,0.989945422619371
BeetleLM/beetlelm_fas-bul_heritage,0.9900053818704416,0.9867516685272383,0.983729241776568,0.9865649448775761,0.9849507652708116,0.9846581405196212,0.9999995207267799,0.9914753018140063,0.9850556361416165,0.9850574929193265,0.9849629737711456,0.9849578684132216,0.9850697733929688,0.9846509059101842,0.9999999499150309,0.9865696448149783,0.9849578684132216,0.9850697733929688,0.9868531135899876,0.9846509059101842,0.9865696448149783,0.9837355572408949,0.9849578684132216,0.9850697733929688,0.9866461805854154,0.983739331263511,0.9846661256221189,0.9999999999999997,0.9914815877218471,0.9850713249267268
BeetleLM/beetlelm_fas-fra_heritage,0.9922467935468053,0.9896430758495115,0.9878377836354997,0.987278778776499,0.9873114082159471,0.9908281937187234,0.9914922942609745,0.9999998388866118,0.9896046642417978,0.9896153945730087,0.9873109654794909,0.987301648954305,0.9896220870624007,0.9908157068301136,0.9914747051321452,0.9872635055997546,0.987301648954305,0.9896220870624007,0.9896934393441759,0.9908157068301136,0.9872635055997546,0.9878489230556028,0.987301648954305,0.9896220870624007,0.9895971085483183,0.9878534645151484,0.9908298016678934,0.9914815877218471,1.0,0.9896205568191572
BeetleLM/beetlelm_fas-deu_heritage,0.9888347972696209,0.9891718667183436,0.990708133817265,0.9872386916996433,0.9895282479480372,0.9899472324677744,0.985099901884155,0.9896227437420849,0.9999998939338615,0.9999999770244908,0.9895300095899362,0.9895328469224626,0.9999999783633379,0.9899301579252843,0.9850742318362599,0.9872295081515439,0.9895328469224626,0.9999999783633379,0.9892275722897733,0.9899301579252843,0.9872295081515439,0.9907068963641683,0.9895328469224626,0.9999999783633379,0.9891426170149153,0.9907047531972334,0.989945422619371,0.9850713249267268,0.9896205568191572,0.9999999999999998
