iso_code,repo,revision,bilingual_type,shared_vocab_pct,n_shared,mean_cosine_dist,std_cosine_dist,median_cosine_dist,probe_le_cosine_dist,probe_de_cosine_dist,probe_et_cosine_dist,probe_à_cosine_dist,probe_les_cosine_dist,probe_des_cosine_dist,probe_en_cosine_dist,probe_un_cosine_dist,probe_du_cosine_dist,probe_que_cosine_dist
fra,BeetleLM/beetlelm_zho-fra_balanced,step-8000,balanced,52.69,607,0.9710659384727478,0.16897958517074585,0.9984181523323059,1.0135,1.0203,0.969,0.983,0.9913,1.0184,1.0247,0.9961,1.0015,0.9379
fra,BeetleLM/beetlelm_nld-fra_balanced,step-8000,balanced,69.36,799,0.9923303723335266,0.0929863303899765,0.9994099140167236,1.0026,1.0049,0.9774,0.982,1.0079,1.0175,1.0433,0.9935,0.9204,1.0062
fra,BeetleLM/beetlelm_fra-ind_balanced,step-2444,balanced,70.4,811,0.9924319386482239,0.09261289983987808,0.9995407462120056,0.9869,0.994,0.9865,0.9821,1.0004,1.0572,1.0352,1.0088,1.0547,1.031
fra,BeetleLM/beetlelm_fra-deu_balanced,step-4000,balanced,69.44,800,0.9910659790039062,0.09318579733371735,0.9996992945671082,0.9404,0.9624,0.9822,1.0125,1.0354,0.9956,0.9427,0.9782,0.9935,1.0123
fra,BeetleLM/beetlelm_fra-ukr_balanced,step-5000,balanced,65.62,756,0.993519127368927,0.09582779556512833,0.9994157552719116,1.0555,1.006,1.0186,0.9687,0.9553,1.0223,1.0127,0.9602,1.0034,1.0267
fra,BeetleLM/beetlelm_fas-fra_balanced,step-8000,balanced,70.05,807,0.992736279964447,0.09289609640836716,0.999941349029541,0.935,1.0013,1.0668,1.0134,0.9924,1.0955,0.9995,1.0535,1.0691,0.9643
fra,BeetleLM/beetlelm_eng-fra_balanced,step-8000,balanced,71.61,825,0.9922838807106018,0.092259980738163,0.999592661857605,1.0302,1.0136,0.9735,0.9711,0.982,1.0055,0.9481,0.9212,0.9901,1.0248
fra,BeetleLM/beetlelm_bul-fra_balanced,step-8000,balanced,65.71,757,0.9944547414779663,0.09629122167825699,1.0014235973358154,0.9784,1.0131,0.995,1.0654,0.9674,1.0259,0.983,0.9345,0.9709,1.0689
fra,BeetleLM/beetlelm_bul-fra_simultaneous,step-16000,simultaneous,65.71,757,0.994437038898468,0.09628590196371078,1.0014958381652832,0.9784,1.0129,0.9953,1.0655,0.9675,1.0258,0.9828,0.9342,0.9709,1.0692
fra,BeetleLM/beetlelm_fra-ukr_sequential,step-4000,sequential,65.62,756,0.9935189485549927,0.0958266407251358,0.9994059801101685,1.0555,1.006,1.0186,0.9687,0.9552,1.0222,1.0127,0.9602,1.0034,1.0266
fra,BeetleLM/beetlelm_bul-fra_sequential,step-19000,sequential,65.71,757,0.9944186210632324,0.09627724438905716,1.0013684034347534,0.9791,1.014,0.9952,1.0649,0.9671,1.0257,0.9834,0.9349,0.9708,1.0691
fra,BeetleLM/beetlelm_zho-fra_part_time,step-17000,part_time,52.69,607,0.9709969162940979,0.1689605414867401,0.9985260367393494,1.0135,1.0195,0.9686,0.983,0.9914,1.0185,1.0244,0.9965,1.0016,0.9382
fra,BeetleLM/beetlelm_fra-ukr_part_time,step-4000,part_time,65.62,756,0.9935189485549927,0.0958266407251358,0.9994059801101685,1.0555,1.006,1.0186,0.9687,0.9552,1.0222,1.0127,0.9602,1.0034,1.0266
fra,BeetleLM/beetlelm_eng-fra_part_time,step-9000,part_time,71.61,825,0.9922890067100525,0.09225845336914062,0.9996858835220337,1.0301,1.0136,0.9738,0.9708,0.9817,1.0054,0.9479,0.9216,0.9901,1.0248
fra,BeetleLM/beetlelm_bul-fra_part_time,step-30000,part_time,65.71,757,0.994416356086731,0.09626711159944534,1.001122236251831,0.9793,1.0137,0.9954,1.0649,0.967,1.0257,0.9834,0.9348,0.9709,1.0692
fra,BeetleLM/beetlelm_zho-fra_late,step-15000,late,52.69,607,0.9710248112678528,0.16896362602710724,0.998193621635437,1.0134,1.0194,0.9684,0.9834,0.9912,1.0184,1.024,0.9965,1.0017,0.9378
fra,BeetleLM/beetlelm_fra-ind_late,step-4000,late,70.4,811,0.992428183555603,0.0926109179854393,0.9995406866073608,0.9869,0.994,0.9865,0.9821,1.0004,1.0571,1.0352,1.0088,1.0547,1.0309
fra,BeetleLM/beetlelm_fra-ukr_late,step-4000,late,65.62,756,0.9935189485549927,0.0958266407251358,0.9994059801101685,1.0555,1.006,1.0186,0.9687,0.9552,1.0222,1.0127,0.9602,1.0034,1.0266
fra,BeetleLM/beetlelm_bul-fra_late,step-30000,late,65.71,757,0.9943123459815979,0.0962585061788559,1.0010653734207153,0.9808,1.0146,0.9955,1.0649,0.9672,1.0267,0.9829,0.9347,0.9711,1.069
fra,BeetleLM/beetlelm_nld-fra_heritage,step-16000,heritage,69.36,799,0.9923079609870911,0.09297983348369598,0.9995017051696777,1.0028,1.005,0.9773,0.9817,1.0077,1.0176,1.0432,0.9936,0.9202,1.0065
fra,BeetleLM/beetlelm_zho-fra_heritage,step-16000,heritage,52.69,607,0.971056342124939,0.1689760982990265,0.9984917044639587,1.0138,1.0203,0.9687,0.9825,0.9909,1.0181,1.0248,0.9962,1.0012,0.9375
fra,BeetleLM/beetlelm_fra-ukr_heritage,step-5000,heritage,65.62,756,0.9935195446014404,0.09582683444023132,0.9994165897369385,1.0556,1.006,1.0186,0.9687,0.9553,1.0223,1.0127,0.9602,1.0034,1.0267
fra,BeetleLM/beetlelm_fra-ind_heritage,step-5499,heritage,70.4,811,0.9924275279045105,0.09261200577020645,0.9995328783988953,0.9869,0.994,0.9865,0.9821,1.0004,1.0571,1.0352,1.0088,1.0547,1.0309
fra,BeetleLM/beetlelm_eng-fra_heritage,step-12000,heritage,71.61,825,0.9922755360603333,0.0922594740986824,0.9997363090515137,1.0303,1.0138,0.9738,0.9711,0.9818,1.0055,0.9479,0.9213,0.9899,1.0248
fra,BeetleLM/beetlelm_fas-fra_heritage,step-3056,heritage,70.05,807,0.9927441477775574,0.0928967297077179,0.999944269657135,0.935,1.0013,1.0667,1.0134,0.9923,1.0954,0.9995,1.0535,1.069,0.9645
fra,BeetleLM/beetlelm_bul-fra_heritage,step-16000,heritage,65.71,757,0.9944142699241638,0.09628736227750778,1.001478910446167,0.9784,1.013,0.9954,1.0657,0.9675,1.026,0.9827,0.934,0.9709,1.0693
