iso_code,repo,revision,bilingual_type,mean_delta_nll,mean_delta_ppl,mean_cf_log_ratio,pct_worse,n_sentences
deu,BeetleLM/beetlelm_zho-deu_heritage,step-8000,heritage,-0.5092914361256384,-520.8717396087811,-0.5092914361256384,26.58102766798419,1012
deu,BeetleLM/beetlelm_bul-deu_part_time,step-20000,part_time,-0.4293318032747201,-448.85571405390505,-0.4293318032747201,29.446640316205535,1012
deu,BeetleLM/beetlelm_bul-deu_sequential,step-17000,sequential,-0.400936150503724,-432.6176341209189,-0.400936150503724,30.8300395256917,1012
deu,BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,simultaneous,-0.4975054461965448,-419.900076262744,-0.4975054461965448,26.679841897233203,1012
deu,BeetleLM/beetlelm_bul-deu_heritage,step-8000,heritage,0.14715629768937002,-109.38919985572491,0.14715629768937002,58.201581027667984,1012
deu,BeetleLM/beetlelm_bul-deu_simultaneous,step-8000,simultaneous,0.22732343574757632,-46.70938973508509,0.22732343574757632,62.055335968379445,1012
deu,BeetleLM/beetlelm_fas-deu_heritage,step-7332,heritage,0.2443266082186944,12.886552134017863,0.2443266082186944,62.450592885375485,1012
deu,BeetleLM/beetlelm_deu_L1-eng_L2_balanced,step-30000,balanced,0.1448589676453662,149.07813907256448,0.1448589676453662,56.52173913043478,1012
deu,BeetleLM/beetlelm_eng_L1-deu_L2_balanced,step-30000,balanced,0.14450592344457452,165.4262398572523,0.14450592344457452,57.31225296442688,1012
deu,BeetleLM/beetlelm_eng-deu_heritage,step-8000,heritage,0.40653660716746637,185.72092509300137,0.40653660716746637,69.56521739130434,1012
deu,BeetleLM/beetlelm_nld-deu_part_time,step-20000,part_time,0.7911945838230872,633.3516929481109,0.7911945838230872,81.22529644268775,1012
deu,BeetleLM/beetlelm_bul-deu_late,step-26000,late,0.9970881432412642,891.6557940796564,0.9970881432412642,85.47430830039525,1012
deu,BeetleLM/beetlelm_deu-ukr_late,step-2000,late,1.077355883102643,1004.912977145979,1.077355883102643,86.7588932806324,1012
deu,BeetleLM/beetlelm_deu-ukr_part_time,step-2000,part_time,1.077355883102643,1004.912977145979,1.077355883102643,86.7588932806324,1012
deu,BeetleLM/beetlelm_deu-ukr_sequential,step-2000,sequential,1.077355883102643,1004.912977145979,1.077355883102643,86.7588932806324,1012
deu,BeetleLM/beetlelm_deu-ukr_heritage,step-2000,heritage,1.1263690449503572,1100.7805031815537,1.1263690449503572,87.74703557312253,1012
deu,BeetleLM/beetlelm_deu-ukr_simultaneous,step-2000,simultaneous,1.2622345184149006,1394.412882690051,1.2622345184149006,90.41501976284584,1012
deu,BeetleLM/beetlelm_deu_L1-eng_L2_simultaneous,step-30000,simultaneous,1.4643689377505789,3514.6226490570753,1.4643689377505789,93.18181818181817,1012
deu,BeetleLM/beetlelm_ind-deu_heritage,step-1000,heritage,3.1468314236331834,13839.982324867946,3.1468314236331834,99.90118577075098,1012
deu,BeetleLM/beetlelm_fas-deu_late,step-8000,late,4.521139539513192,79497.10753307365,4.521139539513192,100.0,1012
deu,BeetleLM/beetlelm_zho-deu_late,step-15000,late,5.965652017018541,393896.59597970574,5.965652017018541,100.0,1012
nld,BeetleLM/beetlelm_zho-nld_balanced,step-30569,balanced,1.657621413233723,127.07357958868928,1.657621413233723,100.0,1012
nld,BeetleLM/beetlelm_nld-bul_heritage,step-25000,heritage,2.056219998673488,200.39699530428513,2.056219998673488,100.0,1012
nld,BeetleLM/beetlelm_nld-bul_late,step-19000,late,2.0649270703905658,200.88487810378663,2.0649270703905658,100.0,1012
nld,BeetleLM/beetlelm_nld-bul_balanced,step-30569,balanced,2.2511691068236535,267.56733719394975,2.2511691068236535,100.0,1012
nld,BeetleLM/beetlelm_nld_L1-eng_L2_simultaneous,step-30000,simultaneous,2.359246102364167,299.72877583538195,2.359246102364167,100.0,1012
nld,BeetleLM/beetlelm_nld_L1-eng_L2_balanced,step-30000,balanced,2.512960846834032,358.65543219796814,2.512960846834032,100.0,1012
nld,BeetleLM/beetlelm_nld-deu_part_time,step-20000,part_time,2.6183978598343995,383.31368464313294,2.6183978598343995,100.0,1012
nld,BeetleLM/beetlelm_nld-fra_heritage,step-16000,heritage,2.906131979858451,541.4882806403266,2.906131979858451,100.0,1012
nld,BeetleLM/beetlelm_eng-nld_balanced,step-18341,balanced,2.994790520239253,584.0399995370371,2.994790520239253,100.0,1012
nld,BeetleLM/beetlelm_eng-nld_simultaneous,step-12000,simultaneous,3.5487829073380106,981.8488479036337,3.5487829073380106,100.0,1012
nld,BeetleLM/beetlelm_nld-fra_balanced,step-8000,balanced,3.6272525819158368,1038.3281392209124,3.6272525819158368,100.0,1012
nld,BeetleLM/beetlelm_fas-nld_simultaneous,step-10000,simultaneous,3.6165367773634642,1041.4134445481054,3.6165367773634642,100.0,1012
nld,BeetleLM/beetlelm_nld-ukr_balanced,step-5000,balanced,3.920945027482368,1331.5313140957928,3.920945027482368,100.0,1012
nld,BeetleLM/beetlelm_nld-deu_balanced,step-4000,balanced,4.2569792830190165,1887.0440265426157,4.2569792830190165,100.0,1012
nld,BeetleLM/beetlelm_nld-ind_balanced,step-2444,balanced,4.692637032081958,2793.6267396289504,4.692637032081958,100.0,1012
nld,BeetleLM/beetlelm_fas-nld_late,step-8000,late,7.661998358522008,71758.03891736729,7.661998358522008,100.0,1012
nld,BeetleLM/beetlelm_fas-nld_part_time,step-8000,part_time,7.661998358522008,71758.03891736729,7.661998358522008,100.0,1012
nld,BeetleLM/beetlelm_fas-nld_sequential,step-8000,sequential,7.661998358522008,71758.03891736729,7.661998358522008,100.0,1012
zho,BeetleLM/beetlelm_zho_L1-eng_L2_simultaneous,step-30000,simultaneous,2.8950162251358447,676.4738099955291,2.8950162251358447,99.90118577075098,1012
zho,BeetleLM/beetlelm_zho-bul_balanced,step-30569,balanced,3.308990120593267,1077.8232983416515,3.308990120593267,100.0,1012
zho,BeetleLM/beetlelm_zho-bul_heritage,step-20000,heritage,3.326493407603309,1107.3934543555918,3.326493407603309,100.0,1012
zho,BeetleLM/beetlelm_zho-eng_balanced,step-18341,balanced,3.412798108731805,1184.1019519631025,3.412798108731805,100.0,1012
zho,BeetleLM/beetlelm_zho_L1-eng_L2_balanced,step-30000,balanced,3.4253755321969157,1196.8101711336571,3.4253755321969157,100.0,1012
zho,BeetleLM/beetlelm_zho-fas_balanced,step-16000,balanced,3.4603906643131506,1209.9482579588625,3.4603906643131506,100.0,1012
zho,BeetleLM/beetlelm_zho-ukr_late,step-15000,late,3.4520244564816887,1222.8476916731408,3.4520244564816887,100.0,1012
zho,BeetleLM/beetlelm_zho-nld_balanced,step-30569,balanced,3.4871781116771134,1243.4936369020984,3.4871781116771134,100.0,1012
zho,BeetleLM/beetlelm_zho-fas_heritage,step-20000,heritage,3.539037501800202,1311.7830692036136,3.539037501800202,100.0,1012
zho,BeetleLM/beetlelm_zho-fra_heritage,step-16000,heritage,3.5582870677879206,1409.563845449679,3.5582870677879206,100.0,1012
zho,BeetleLM/beetlelm_zho-fas_late,step-15000,late,3.643825426344344,1432.4763009091607,3.643825426344344,100.0,1012
zho,BeetleLM/beetlelm_zho-ind_late,step-15000,late,3.6701427876595925,1500.8647918960614,3.6701427876595925,100.0,1012
zho,BeetleLM/beetlelm_zho-fra_late,step-15000,late,3.6773617229325026,1513.1949611116863,3.6773617229325026,100.0,1012
zho,BeetleLM/beetlelm_zho-deu_late,step-15000,late,3.698220210525358,1553.2751467142643,3.698220210525358,100.0,1012
zho,BeetleLM/beetlelm_zho-deu_heritage,step-8000,heritage,4.092893720556625,2163.1018462982724,4.092893720556625,100.0,1012
zho,BeetleLM/beetlelm_zho-fra_balanced,step-8000,balanced,4.462228467283041,3549.137007381728,4.462228467283041,100.0,1012
zho,BeetleLM/beetlelm_zho-ukr_balanced,step-5000,balanced,5.074550851472753,6216.876693307727,5.074550851472753,100.0,1012
zho,BeetleLM/beetlelm_zho-deu_balanced,step-4000,balanced,6.272830152641172,18489.222869092602,6.272830152641172,100.0,1012
zho,BeetleLM/beetlelm_zho-fra_part_time,step-17000,part_time,6.648983833288016,30566.75746953323,6.648983833288016,100.0,1012
zho,BeetleLM/beetlelm_zho-ind_balanced,step-2444,balanced,6.8672451915830495,31984.52099341959,6.8672451915830495,100.0,1012
